
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
13,John Amaechi,PF,6-10,270,November 26 1970,R,Pennsylvania State University
1,Terrell Brandon,PG,5-11,180,May 20 1970,4,University of Oregon
44,Michael Cage,C,6-9,224,January 28 1962,11,San Diego State University
40,Joe Courtney,PF,6-8,235,October 17 1969,2,University of Southern Mississippi
11,John Crotty,PG,6-1,185,July 15 1969,3,University of Virginia
35,Danny Ferry,PF,6-10,230,October 17 1966,5,Duke University
32,Tyrone Hill,PF,6-9,240,March 19 1968,5,Xavier University
30,Darryl Johnson,PG,6-1,170,October 26 1965,R,Michigan State University
21,Antonio Lang,SF,6-8,205,May 15 1972,1,Duke University
9,Dan Majerle,SF,6-6,215,September 9 1965,7,Central Michigan University
33,Donny Marshall,SF,6-7,230,July 17 1972,R,University of Connecticut
24,Chris Mills,SF,6-6,215,January 25 1970,2,University of Arizona
4,Harold Miner,SG,6-5,210,May 5 1971,3,University of Southern California
14,Bobby Phills,SG,6-5,210,December 20 1969,4,Southern University and A&amp;M College
3,Bob Sura,SG,6-5,200,March 25 1973,R,Florida State University
