
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Rolando Blackman,25,81,2834,17.7,.566,.016,.336,4.2,7.9,6.0,15.1,1.0,0.3,10.3,23.2,,5.8,1.4,7.3,.123,,2.2,-1.6,0.6,1.9
2,Mark Aguirre,25,80,2699,21.3,.563,.054,.370,7.8,12.5,10.1,15.3,1.1,0.5,12.2,32.2,,5.3,1.9,7.2,.128,,3.6,-1.9,1.7,2.5
3,Jay Vincent,25,79,2543,18.0,.545,.004,.369,8.1,23.8,15.8,9.7,0.9,0.5,11.4,24.6,,4.0,2.6,6.5,.123,,0.3,-0.8,-0.6,0.9
4,Brad Davis,29,82,2539,15.2,.596,.187,.290,1.7,7.1,4.3,29.5,1.7,0.2,15.1,13.4,,5.7,1.7,7.4,.140,,1.8,-1.5,0.4,1.5
5,Sam Perkins,23,82,2317,15.0,.535,.049,.332,9.1,20.9,14.9,7.8,1.3,1.6,10.8,17.1,,3.2,2.6,5.8,.120,,-0.1,0.9,0.8,1.7
6,Derek Harper,23,82,2218,15.2,.564,.096,.243,2.4,8.0,5.1,21.7,3.2,1.0,14.9,15.5,,2.9,2.4,5.4,.116,,1.1,1.1,2.1,2.3
7,Kurt Nimphius,26,82,2010,10.9,.504,.014,.323,7.5,15.8,11.6,11.4,0.7,3.6,16.1,12.3,,1.3,2.0,3.3,.079,,-1.6,2.5,0.9,1.4
8,Dale Ellis,24,72,1314,14.7,.514,.181,.172,8.5,12.2,10.3,6.2,1.7,0.3,8.2,22.5,,1.3,1.1,2.4,.088,,0.4,-2.1,-1.7,0.1
9,Wallace Bryant,25,56,860,10.3,.490,.000,.297,9.6,22.6,16.0,11.9,1.2,1.6,21.6,10.4,,0.3,1.0,1.3,.073,,-2.4,2.2,-0.1,0.4
10,Charlie Sitton,22,43,304,8.0,.433,.021,.266,8.8,13.8,11.2,11.1,1.1,1.1,15.3,17.1,,-0.2,0.3,0.1,.008,,-3.7,-0.5,-4.2,-0.2
11,Tom Sluby,22,31,151,12.2,.543,.034,.362,3.7,5.4,4.5,15.2,1.0,0.0,14.1,21.7,,0.1,0.1,0.2,.052,,-1.6,-3.5,-5.1,-0.1
12,Howard Carter,23,11,66,-7.4,.192,.130,.043,1.7,3.5,2.6,7.3,0.7,0.0,25.4,19.9,,-0.4,0.0,-0.4,-0.309,,-13.3,-3.0,-16.3,-0.2
