
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rolando Blackman,25,81,80,2834,625,1230,.508,6,20,.300,619,1210,.512,.511,342,413,.828,107,193,300,289,61,16,162,96,1598
2,Mark Aguirre,25,80,79,2699,794,1569,.506,27,85,.318,767,1484,.517,.515,440,580,.759,188,289,477,249,60,24,253,250,2055
3,Jay Vincent,25,79,47,2543,545,1138,.479,0,4,.000,545,1134,.481,.479,351,420,.836,185,519,704,169,48,22,170,226,1441
4,Brad Davis,29,82,82,2539,310,614,.505,47,115,.409,263,499,.527,.543,158,178,.888,39,154,193,581,91,10,123,219,825
5,Sam Perkins,23,82,42,2317,347,736,.471,9,36,.250,338,700,.483,.478,200,244,.820,189,416,605,135,63,63,102,236,903
6,Derek Harper,23,82,1,2218,329,633,.520,21,61,.344,308,572,.538,.536,111,154,.721,47,152,199,360,144,37,123,194,790
7,Kurt Nimphius,26,82,40,2010,196,434,.452,0,6,.000,196,428,.458,.452,108,140,.771,136,272,408,183,30,126,95,262,500
8,Dale Ellis,24,72,4,1314,274,603,.454,42,109,.385,232,494,.470,.489,77,104,.740,100,138,238,56,46,7,58,131,667
9,Wallace Bryant,25,56,35,860,67,148,.453,0,0,,67,148,.453,.453,30,44,.682,74,167,241,84,21,24,46,110,164
10,Charlie Sitton,22,43,0,304,39,94,.415,0,2,.000,39,92,.424,.415,13,25,.520,24,36,60,26,7,6,19,50,91
11,Tom Sluby,22,31,0,151,30,58,.517,0,2,.000,30,56,.536,.517,13,21,.619,5,7,12,16,3,0,11,18,73
12,Howard Carter,23,11,0,66,4,23,.174,0,3,.000,4,20,.200,.174,1,1,1.000,1,2,3,4,1,0,8,4,9
,Team Totals,,82,,19855,3560,7280,.489,152,443,.343,3408,6837,.498,.499,1844,2324,.793,1095,2345,3440,2152,575,335,1184,1796,9116
