
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
4,Steve Alford,PG,6-2,183,November 23 1964,3,Indiana University
22,Rolando Blackman,SG,6-6,190,February 26 1959,9,Kansas State University
15,Brad Davis,PG,6-3,180,December 17 1955,13,University of Maryland
40,James Donaldson,C,7-2,275,August 16 1957,10,Washington State University
2,Alex English,SF,6-7,190,January 5 1954,14,University of South Carolina
50,Jim Grandholm,PF,7-0,235,October 4 1960,R,University of South Florida
12,Derek Harper,PG,6-4,185,October 13 1961,7,University of Illinois at Urbana-Champaign
21,Fat Lever,SG,6-3,170,August 18 1960,8,Arizona State University
1,Rodney McCray,PF,6-7,220,August 29 1961,7,University of Louisville
55,John Shasky,C,6-11,235,July 31 1964,2,University of Minnesota
42,Roy Tarpley,C,6-11,230,November 28 1964,4,University of Michigan
5,Kelvin Upshaw,SG,6-2,180,January 24 1963,2,University of Utah
33,Randy White,PF,6-8,240,November 4 1967,1,Louisiana Tech University
32,Herb Williams,C,6-10,242,February 16 1958,9,Ohio State University
34,Howard Wright,PF,6-8,220,December 20 1967,R,Stanford University
