
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Derek Harper,30,65,64,34.6,6.9,15.6,.443,0.9,2.9,.312,6.0,12.7,.473,.472,3.0,4.0,.759,0.8,1.9,2.6,5.7,1.6,0.3,2.4,2.3,17.7
2,Rolando Blackman,32,75,74,33.7,7.1,15.5,.461,0.9,2.3,.385,6.3,13.2,.474,.489,3.2,3.5,.898,1.0,2.1,3.2,2.7,0.7,0.3,2.0,1.8,18.3
3,Terry Davis,24,68,67,31.6,3.8,7.8,.482,0.0,0.1,.000,3.8,7.7,.487,.482,2.7,4.2,.635,3.4,6.5,9.9,0.8,0.4,0.4,1.7,3.0,10.2
4,Fat Lever,31,31,5,28.5,4.4,11.3,.387,0.5,1.7,.327,3.8,9.6,.397,.411,1.9,2.6,.750,1.8,3.4,5.2,3.5,1.5,0.4,1.2,2.4,11.2
5,Rodney McCray,30,75,48,28.1,3.6,8.3,.436,0.3,1.1,.294,3.3,7.2,.458,.456,1.5,2.0,.719,2.0,4.3,6.2,2.9,0.6,0.4,1.5,2.4,9.0
6,Herb Williams,33,75,26,27.2,4.9,11.3,.431,0.0,0.1,.167,4.9,11.3,.433,.432,1.7,2.3,.725,1.4,4.6,6.1,1.3,0.5,1.3,1.5,2.5,11.5
7,Mike Iuzzolino,24,52,21,24.6,3.1,6.8,.451,1.1,2.6,.434,1.9,4.2,.461,.534,2.1,2.5,.836,0.5,1.4,1.9,3.7,0.6,0.0,1.8,1.5,9.3
8,James Donaldson,34,44,32,22.6,2.4,5.2,.471,0.0,0.0,,2.4,5.2,.471,.471,1.3,1.9,.702,2.2,3.9,6.1,0.7,0.2,1.0,0.9,2.0,6.2
9,Doug Smith,22,76,32,22.5,3.8,9.2,.415,0.0,0.1,.000,3.8,9.1,.421,.415,1.2,1.6,.736,1.7,3.4,5.1,1.7,0.8,0.4,1.3,3.4,8.8
10,Donald Hodge,22,51,27,20.7,3.2,6.4,.497,0.0,0.0,,3.2,6.4,.497,.497,2.0,2.9,.667,2.3,3.1,5.4,0.8,0.5,0.5,1.5,2.5,8.4
11,Tracy Moore,26,42,2,18.6,3.1,7.7,.400,0.7,2.0,.357,2.4,5.7,.415,.446,1.5,1.9,.833,0.7,1.2,2.0,1.1,0.8,0.1,1.0,2.3,8.5
12,Randy White,24,65,12,15.7,2.2,5.9,.380,0.1,0.4,.148,2.2,5.5,.397,.385,1.9,2.5,.765,1.5,2.2,3.6,0.5,0.5,0.3,1.0,2.4,6.4
13,Brad Davis,36,33,0,13.0,1.2,2.6,.442,0.2,0.5,.278,1.0,2.1,.485,.471,0.3,0.5,.733,0.1,0.9,1.0,2.0,0.3,0.1,0.8,1.7,2.8
14,Brian Howard,24,27,0,11.8,2.0,3.9,.519,0.0,0.1,.500,2.0,3.8,.520,.524,0.8,1.1,.710,0.6,1.3,1.9,0.5,0.4,0.3,0.6,2.0,4.9
15,Tom Garrick,25,6,0,10.5,0.7,2.8,.235,0.0,0.2,.000,0.7,2.7,.250,.235,0.3,0.3,1.000,0.3,0.7,1.0,2.8,1.3,0.0,0.7,1.2,1.7
16,Brian Quinnett,25,15,0,9.1,1.0,3.4,.294,0.2,1.0,.200,0.8,2.4,.333,.324,0.5,0.8,.667,0.5,1.3,1.8,0.3,0.6,0.1,0.5,0.7,2.7
17,Joao Vianna,25,1,0,9.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0
