
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
6,Chucky Brown,SF,6-7,214,February 29 1968,4,North Carolina State University
19,Tony Campbell,SF,6-7,215,May 7 1962,9,Ohio State University
43,Terry Davis,PF,6-9,225,June 17 1967,4,Virginia Union University
40,Greg Dreiling,C,7-1,250,November 7 1962,7,University of Kansas
12,Derek Harper,PG,6-4,185,October 13 1961,10,University of Illinois at Urbana-Champaign
30,Lucious Harris,SG,6-5,190,December 18 1970,R,California State University Long Beach
35,Donald Hodge,C,7-0,230,February 25 1969,2,Temple University
24,Jim Jackson,SG,6-6,220,October 14 1970,1,Ohio State University
54,Popeye Jones,PF,6-8,250,June 17 1970,R,Murray State University
23,Tim Legler,PG,6-4,200,December 26 1966,3,La Salle University
21,Fat Lever,PG,6-3,170,August 18 1960,10,Arizona State University
32,Jamal Mashburn,SF,6-8,240,November 29 1972,R,University of Kentucky
50,Darren Morningstar,C,6-10,235,April 22 1969,R,University of Pittsburgh
45,Sean Rooks,C,6-10,250,September 9 1969,1,University of Arizona
34,Doug Smith,PF,6-10,220,September 17 1969,2,University of Missouri
52,Randy White,PF,6-8,240,November 4 1967,4,Louisiana Tech University
20,Morlon Wiley,PG,6-4,185,September 24 1966,5,California State University Long Beach
44,Lorenzo Williams,PF,6-9,200,July 15 1969,1,Stetson University
