
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Derek Harper,35,75,29,2210,7.3,16.4,.444,1.5,4.3,.341,5.8,12.1,.480,2.3,3.1,.742,0.7,2.6,3.3,7.8,2.2,0.3,3.2,3.5,18.4,,104,111
2,Michael Finley,23,56,36,1994,9.0,20.9,.432,2.4,6.1,.387,6.7,14.8,.450,3.8,4.8,.807,1.5,5.4,6.8,4.2,1.4,0.5,3.2,2.6,24.3,,104,110
3,A.C. Green,33,56,54,1944,4.8,9.9,.486,0.0,0.5,.059,4.8,9.4,.507,2.7,4.1,.651,5.2,9.1,14.4,1.4,1.4,0.4,1.5,3.1,12.3,,114,107
4,Jim Jackson,26,46,46,1676,8.4,18.9,.442,1.5,4.5,.331,6.9,14.4,.477,4.8,6.0,.787,2.6,4.7,7.3,5.0,1.8,0.5,3.4,3.6,23.0,,106,110
5,George McCloud,29,41,26,1207,9.1,21.5,.423,3.5,9.2,.380,5.6,12.4,.455,3.4,4.1,.837,1.3,5.1,6.4,4.1,2.3,0.4,2.3,4.7,25.1,,110,109
6,Chris Gatling,29,44,1,1191,14.0,26.3,.533,0.0,0.3,.167,13.9,26.0,.537,10.0,14.2,.706,5.7,10.0,15.8,1.1,1.6,1.4,5.2,5.7,38.0,,108,105
7,Shawn Bradley,24,33,32,1060,10.5,22.8,.461,0.0,0.2,.000,10.5,22.7,.464,3.5,5.4,.642,5.2,9.3,14.5,1.6,0.9,4.5,3.6,5.8,24.5,,97,105
8,Eric Montross,25,47,46,984,4.7,10.2,.460,0.0,0.0,,4.7,10.2,.460,0.5,1.9,.294,3.6,9.3,12.9,1.8,0.5,1.9,2.8,8.2,10.0,,87,108
9,Jamal Mashburn,24,37,21,975,7.7,20.8,.372,2.3,7.2,.321,5.4,13.5,.400,4.0,6.1,.649,1.5,4.8,6.4,5.1,1.9,0.3,3.2,3.8,21.8,,97,110
10,Oliver Miller,26,42,0,836,4.9,9.9,.494,0.0,0.1,.000,4.9,9.9,.497,1.8,3.4,.528,5.3,9.7,15.0,3.7,2.2,3.2,4.5,8.6,11.6,,92,102
11,Jason Kidd,23,22,22,791,5.1,13.8,.369,1.4,4.4,.323,3.7,9.4,.391,3.1,4.7,.667,2.0,4.1,6.1,13.6,3.1,0.5,4.5,2.9,14.8,,102,108
12,Erick Strickland,23,28,15,759,7.2,18.2,.398,2.0,6.5,.304,5.3,11.6,.451,4.6,5.7,.813,1.5,4.9,6.4,4.8,1.9,0.4,4.7,5.3,21.1,,96,110
13,Samaki Walker,20,43,12,602,7.4,16.7,.444,0.0,0.1,.000,7.4,16.7,.446,4.3,6.6,.649,4.2,9.0,13.2,1.5,1.3,2.0,3.5,6.4,19.2,,95,106
14,Robert Pack,27,20,11,597,7.1,19.8,.361,0.8,3.4,.237,6.3,16.3,.387,5.6,6.6,.849,1.2,4.2,5.4,11.5,3.2,0.3,6.1,5.1,20.7,,93,107
15,Sasha Danilovic,26,13,9,438,9.0,21.4,.420,2.7,7.4,.367,6.3,14.0,.447,5.9,7.0,.842,1.0,3.2,4.2,3.1,1.8,0.1,2.7,4.6,26.6,,108,111
16,Sam Cassell,27,16,13,398,9.5,22.4,.424,2.0,6.6,.306,7.5,15.7,.474,5.7,6.8,.840,1.9,4.9,6.8,7.7,2.3,0.8,5.6,6.5,26.7,,101,108
17,Greg Dreiling,34,40,3,389,4.7,10.3,.459,0.1,0.1,1.000,4.6,10.1,.452,1.5,3.7,.407,2.6,7.9,10.5,1.5,1.1,1.0,1.2,9.0,11.1,,99,108
18,Khalid Reeves,24,13,12,384,6.0,15.6,.387,1.0,4.9,.200,5.1,10.7,.474,1.3,1.7,.750,1.7,2.7,4.4,7.9,1.5,0.3,3.7,5.6,14.3,,93,112
19,Martin Muursepp,22,32,0,321,8.2,19.7,.419,0.5,3.4,.150,7.7,16.3,.474,6.4,9.4,.679,5.5,4.9,10.4,2.9,2.0,1.7,2.5,9.2,23.3,,106,108
20,Loren Meyer,24,19,16,259,7.1,16.2,.436,0.2,0.4,.500,6.9,15.8,.434,1.9,2.5,.750,2.9,7.3,10.2,1.5,1.2,0.6,5.6,10.8,16.2,,79,109
21,Tony Dumas,24,18,0,227,6.4,18.3,.351,0.7,5.7,.125,5.7,12.6,.453,3.6,5.5,.652,0.7,2.6,3.3,5.2,2.4,0.2,3.6,8.6,17.1,,85,110
22,Jamie Watson,24,10,6,211,5.1,12.0,.426,0.8,2.3,.333,4.3,9.7,.447,0.5,1.0,.500,3.6,3.8,7.4,5.9,2.8,0.5,3.8,4.6,11.5,,92,108
23,Ed O'Bannon,24,19,0,175,5.2,22.2,.236,0.3,3.1,.100,4.9,19.1,.258,3.4,3.7,.917,2.8,8.3,11.1,3.4,1.5,0.6,1.8,5.9,14.2,,75,107
24,Stacey King,30,6,0,70,4.6,11.6,.400,0.0,0.0,,4.6,11.6,.400,0.0,3.1,.000,7.7,6.2,13.9,0.0,1.5,0.0,3.9,8.5,9.2,,75,110
25,Stevin Smith,25,8,0,60,5.4,16.2,.333,0.9,5.4,.167,4.5,10.8,.417,0.9,0.9,1.000,1.8,7.2,9.0,3.6,0.9,0.0,3.6,8.1,12.6,,78,110
26,Fred Roberts,36,12,0,40,8.1,20.2,.400,0.0,0.0,,8.1,20.2,.400,13.5,18.9,.714,2.7,10.8,13.5,0.0,0.0,1.3,6.7,2.7,29.7,,92,108
27,Jason Sasser,23,2,0,7,7.7,30.8,.250,0.0,7.7,.000,7.7,23.1,.333,0.0,0.0,,7.7,0.0,7.7,7.7,7.7,0.0,0.0,0.0,15.4,,81,102
