
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dirk Nowitzki,23,76,76,2891,7.5,15.7,.477,1.7,4.4,.397,5.7,11.3,.508,5.5,6.4,.853,1.5,7.9,9.4,2.3,1.0,1.0,1.8,2.8,22.2
2,Steve Nash,27,82,82,2837,6.7,13.8,.483,2.0,4.4,.455,4.7,9.5,.495,3.3,3.7,.887,0.6,2.6,3.2,8.0,0.7,0.1,2.9,2.1,18.6
3,Michael Finley,28,69,69,2754,7.4,16.1,.463,1.0,2.9,.339,6.4,13.1,.491,2.7,3.3,.837,1.2,3.5,4.7,3.0,0.8,0.3,1.5,1.9,18.6
4,Juwan Howard,28,53,44,1659,5.9,12.7,.462,0.0,0.0,.000,5.9,12.7,.462,3.1,4.1,.754,3.0,5.5,8.5,2.0,0.6,0.7,1.7,3.7,14.8
5,Adrian Griffin,27,58,34,1383,4.7,9.3,.499,0.4,1.4,.296,4.2,7.9,.534,1.1,1.3,.837,1.8,4.2,6.0,2.8,2.0,0.3,1.1,3.7,10.8
6,Eduardo Najera,25,62,11,1357,4.0,8.0,.500,0.0,0.1,.000,4.0,7.9,.503,2.7,3.9,.676,4.0,5.1,9.1,1.0,1.5,0.8,1.1,4.1,10.6
7,Tim Hardaway,35,54,2,1276,5.1,13.9,.362,2.7,7.9,.341,2.4,6.1,.391,1.8,2.2,.833,0.4,2.4,2.7,5.7,1.1,0.2,2.1,2.4,14.6
8,Greg Buckner,25,44,16,885,4.2,8.1,.525,0.2,0.7,.313,4.0,7.4,.544,1.6,2.4,.690,2.7,4.3,7.0,2.0,1.3,0.8,1.1,5.0,10.3
9,Raef LaFrentz,25,27,25,787,5.2,11.9,.437,1.3,4.3,.305,3.9,7.6,.512,1.6,2.1,.761,2.7,6.4,9.1,1.3,1.1,2.7,1.6,4.9,13.4
10,Nick Van Exel,30,27,2,757,6.1,14.9,.411,1.6,4.7,.347,4.5,10.3,.440,3.1,3.7,.844,0.4,3.6,4.0,5.4,0.7,0.2,1.9,1.7,17.0
11,Shawn Bradley,29,53,16,757,3.7,7.8,.479,0.0,0.0,.000,3.7,7.7,.481,2.8,3.0,.922,2.5,5.8,8.4,1.0,1.3,3.0,1.2,6.1,10.2
12,Johnny Newman,38,47,17,724,3.3,7.4,.453,1.1,2.8,.386,2.2,4.5,.495,2.1,2.9,.724,0.4,2.0,2.4,0.7,1.4,0.2,1.0,4.4,9.8
13,Wang Zhizhi,24,55,0,600,6.5,14.9,.440,2.9,7.0,.414,3.7,7.9,.462,2.5,3.4,.737,1.1,5.5,6.7,1.3,0.7,1.1,1.5,5.0,18.5
14,Danny Manning,35,41,10,552,4.6,9.7,.477,0.1,0.5,.143,4.6,9.3,.493,1.4,2.2,.667,1.6,5.4,7.0,2.0,1.4,1.4,1.6,5.2,10.8
15,Evan Eschmeyer,26,31,6,299,2.5,6.0,.420,0.0,0.0,,2.5,6.0,.420,2.4,4.0,.606,4.2,7.6,11.8,1.1,1.2,1.1,1.9,7.2,7.5
16,Donnell Harvey,21,18,0,162,3.1,5.8,.538,0.0,0.0,,3.1,5.8,.538,2.2,4.9,.455,2.7,7.6,10.2,1.1,0.9,1.1,1.8,6.0,8.4
17,Avery Johnson,36,17,0,152,5.0,11.6,.429,0.0,0.0,,5.0,11.6,.429,2.8,4.0,.706,0.0,1.2,1.2,6.6,1.2,0.2,2.1,4.0,12.8
18,Tariq Abdul-Wahad,27,4,0,24,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,0.0,1.5,.000,3.0,6.0,9.0,3.0,3.0,1.5,4.5,7.5,0.0
19,Darrick Martin,30,3,0,22,0.0,16.4,.000,0.0,3.3,.000,0.0,13.1,.000,1.6,3.3,.500,0.0,1.6,1.6,4.9,3.3,0.0,1.6,6.5,1.6
20,Charlie Bell,22,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
