
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kiki Vandeweghe,25,78,71,35.1,11.5,20.6,.558,0.1,0.4,.367,11.3,20.2,.562,.562,6.3,7.4,.852,1.1,3.7,4.8,3.1,0.7,0.6,2.0,2.4,29.4
2,Alex English,30,82,77,35.0,11.1,20.9,.529,0.0,0.1,.143,11.0,20.8,.531,.529,4.3,5.2,.824,2.6,3.0,5.7,5.0,1.0,1.2,2.7,3.1,26.4
3,T.R. Dunn,28,80,74,33.8,2.2,4.6,.470,0.0,0.0,.000,2.2,4.6,.472,.470,1.3,1.8,.731,2.4,4.7,7.2,2.9,2.2,0.4,1.2,2.9,5.7
4,Dan Issel,35,76,66,27.3,7.5,15.2,.493,0.1,0.3,.211,7.4,14.9,.498,.495,4.8,5.6,.850,1.5,5.3,6.8,2.3,0.8,0.6,1.6,2.4,19.8
5,Rob Williams,22,79,66,24.4,3.9,8.5,.461,0.2,0.6,.319,3.7,7.9,.471,.472,2.2,2.6,.818,0.7,1.8,2.5,5.9,1.1,0.1,2.1,3.4,10.2
6,Mike Evans,28,78,5,21.6,3.1,7.2,.431,0.4,1.1,.360,2.7,6.1,.444,.459,1.4,1.7,.847,0.3,1.5,1.8,3.7,0.8,0.1,1.5,2.2,8.1
7,Bill Hanzlik,26,80,14,18.4,1.7,3.8,.431,0.0,0.2,.250,1.6,3.7,.439,.436,2.1,2.6,.807,0.8,1.7,2.6,3.2,0.9,0.2,1.4,3.2,5.4
8,Richard Anderson,23,78,17,17.7,3.5,8.2,.426,0.0,0.2,.158,3.4,7.9,.435,.429,1.5,1.9,.773,1.7,3.5,5.2,2.5,0.6,0.4,1.4,2.3,8.5
9,Danny Schayes,24,82,15,17.3,2.2,4.5,.493,0.0,0.0,.000,2.2,4.5,.496,.493,2.6,3.3,.790,1.8,3.5,5.3,1.1,0.4,0.7,1.5,3.8,7.1
10,Howard Carter,22,55,5,12.5,2.6,5.7,.459,0.1,0.3,.263,2.5,5.4,.471,.467,0.9,1.1,.770,0.7,0.9,1.6,1.3,0.3,0.1,0.8,1.5,6.2
11,Anthony Roberts,28,19,0,10.4,1.8,4.8,.374,0.0,0.0,,1.8,4.8,.374,.374,0.7,0.9,.722,1.1,1.6,2.7,0.7,0.3,0.1,0.9,2.3,4.3
12,Kenny Dennard,25,43,0,9.6,0.8,2.3,.364,0.1,0.2,.300,0.8,2.1,.371,.379,0.3,0.6,.625,0.9,1.5,2.3,1.0,0.5,0.2,0.7,1.9,2.1
13,Dave Robisch,34,19,0,7.4,0.7,2.1,.325,0.0,0.0,,0.7,2.1,.325,.325,0.6,0.7,.846,0.1,1.1,1.1,0.7,0.0,0.1,0.6,0.7,1.9
14,Keith Edmonson,23,15,0,6.7,1.5,3.1,.489,0.0,0.0,,1.5,3.1,.489,.489,1.2,1.7,.720,0.4,0.8,1.2,0.5,0.3,0.1,1.1,1.1,4.3
