
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex English,30,82,77,2870,907,1714,.529,1,7,.143,906,1707,.531,.529,352,427,.824,216,248,464,406,83,95,222,252,2167
2,Kiki Vandeweghe,25,78,71,2734,895,1603,.558,11,30,.367,884,1573,.562,.562,494,580,.852,84,289,373,238,53,50,156,187,2295
3,T.R. Dunn,28,80,74,2705,174,370,.470,0,1,.000,174,369,.472,.470,106,145,.731,195,379,574,228,173,32,97,233,454
4,Dan Issel,35,76,66,2076,569,1153,.493,4,19,.211,565,1134,.498,.495,364,428,.850,112,401,513,173,60,44,122,182,1506
5,Rob Williams,22,79,66,1924,309,671,.461,15,47,.319,294,624,.471,.472,171,209,.818,54,140,194,464,84,5,169,268,804
6,Mike Evans,28,78,5,1687,243,564,.431,32,89,.360,211,475,.444,.459,111,131,.847,23,115,138,288,61,4,117,175,629
7,Bill Hanzlik,26,80,14,1469,132,306,.431,3,12,.250,129,294,.439,.436,167,207,.807,66,139,205,252,68,19,109,255,434
8,Danny Schayes,24,82,15,1420,183,371,.493,0,2,.000,183,369,.496,.493,215,272,.790,145,288,433,91,32,60,119,308,581
9,Richard Anderson,23,78,17,1380,272,638,.426,3,19,.158,269,619,.435,.429,116,150,.773,136,270,406,193,46,28,109,183,663
10,Howard Carter,22,55,5,688,145,316,.459,5,19,.263,140,297,.471,.467,47,61,.770,38,48,86,71,19,4,42,81,342
11,Kenny Dennard,25,43,0,413,36,99,.364,3,10,.300,33,89,.371,.379,15,24,.625,37,64,101,45,23,8,29,83,90
12,Anthony Roberts,28,19,0,197,34,91,.374,0,0,,34,91,.374,.374,13,18,.722,20,31,51,13,5,1,17,43,81
13,Dave Robisch,34,19,0,141,13,40,.325,0,0,,13,40,.325,.325,11,13,.846,1,20,21,13,0,1,11,13,37
14,Keith Edmonson,23,15,0,101,23,47,.489,0,0,,23,47,.489,.489,18,25,.720,6,12,18,7,4,1,16,16,64
,Team Totals,,82,,19805,3935,7983,.493,77,255,.302,3858,7728,.499,.498,2200,2690,.818,1133,2444,3577,2482,711,352,1344,2279,10147
