
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
14,Michael Adams,PG,5-10,162,January 19 1963,3,Boston College
1,Darwin Cook,SG,6-3,184,August 6 1958,7,University of Portland
42,Wayne Cooper,C,6-10,220,November 16 1956,10,University of New Orleans
6,Walter Davis,SG,6-6,193,September 9 1954,11,University of North Carolina
43,Wayne Englestad,PF,6-8,245,December 6 1966,R,University of California Irvine
2,Alex English,SF,6-7,190,January 5 1954,12,University of South Carolina
22,Dave Greenwood,PF,6-9,222,May 27 1957,9,University of California Los Angeles
24,Bill Hanzlik,PF,6-7,185,December 6 1957,8,University of Notre Dame
15,Eddie Hughes,PG,5-10,165,May 26 1960,1,Colorado State University
35,Jerome Lane,PF,6-6,230,December 4 1966,R,University of Pittsburgh
12,Fat Lever,SG,6-3,170,August 18 1960,6,Arizona State University
33,Calvin Natt,SF,6-6,220,January 8 1957,9,University of Louisiana at Monroe
41,Blair Rasmussen,C,7-0,250,November 13 1962,3,University of Oregon
34,Danny Schayes,C,6-11,235,May 10 1959,7,Syracuse University
21,Elston Turner,SF,6-5,190,June 10 1959,7,University of Mississippi
30,Jay Vincent,SF,6-7,220,June 10 1959,7,Michigan State University
