
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Mahmoud Abdul-Rauf,PG,6-1,162,March 9 1969,R,Louisiana State University
14,Michael Adams,PG,5-10,162,January 19 1963,5,Boston College
33,Greg Anderson,PF,6-10,230,June 22 1964,3,University of Houston
5,Kenny Battle,SG,6-6,210,October 10 1964,1,University of Illinois at Urbana-Champaign
,Anthony Cook,PF,6-9,205,March 19 1967,R,University of Arizona
6,Walter Davis,SG,6-6,193,September 9 1954,13,University of North Carolina
23,T.R. Dunn,SG,6-4,192,February 1 1955,13,University of Alabama
22,Jim Farmer,SG,6-4,190,September 23 1964,3,University of Alabama
1,Corey Gaines,SG,6-3,195,June 1 1965,2,Loyola Marymount University
15,Avery Johnson,PG,5-10,175,March 25 1965,2,Southern University and A&amp;M College
35,Jerome Lane,PF,6-6,230,December 4 1966,2,University of Pittsburgh
22,Tim Legler,SG,6-4,200,December 26 1966,1,La Salle University
30,Marcus Liberty,SF,6-8,205,October 27 1968,R,University of Illinois at Urbana-Champaign
21,Todd Lichti,SG,6-4,205,January 8 1967,1,Stanford University
34,Anthony Mason,PF,6-7,250,December 14 1966,1,Tennessee State University
5,Terry Mills,PF,6-10,230,December 21 1967,R,University of Michigan
22,Craig Neal,PG,6-5,165,February 16 1964,1,Georgia Institute of Technology
41,Blair Rasmussen,C,7-0,250,November 13 1962,5,University of Oregon
34,Reggie Williams,SF,6-7,190,March 5 1964,3,Georgetown University
42,Joe Wolf,C,6-11,230,December 17 1964,3,University of North Carolina
0,Orlando Woolridge,SF,6-9,215,December 16 1959,9,University of Notre Dame
