
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Nick Van Exel,29,71,2688,18.5,.515,.322,.224,1.8,8.1,4.9,38.4,1.2,0.5,11.9,23.0,,6.1,0.3,6.4,.114,,4.0,-2.9,1.1,2.1
2,Antonio McDyess,26,70,2555,22.0,.538,.000,.373,10.1,26.1,18.0,10.8,0.9,2.7,10.7,26.5,,5.2,2.6,7.8,.146,,1.0,0.1,1.1,2.0
3,Raef LaFrentz,24,78,2457,17.6,.544,.171,.323,7.6,19.4,13.4,7.3,0.8,5.8,9.5,18.6,,4.3,2.5,6.8,.132,,0.2,1.8,2.0,2.5
4,Voshon Lenard,27,80,2331,13.2,.522,.452,.227,2.2,8.7,5.4,13.4,1.4,0.5,9.9,19.7,,2.9,0.6,3.5,.072,,1.4,-2.0,-0.7,0.8
5,James Posey,24,82,2255,12.5,.511,.368,.239,5.9,14.9,10.4,11.2,2.1,1.2,13.5,14.9,,2.1,1.7,3.8,.080,,0.0,0.9,0.9,1.7
6,George McCloud,33,76,2007,12.9,.496,.357,.276,2.9,9.3,6.1,22.1,1.4,0.9,13.7,18.9,,2.0,0.6,2.6,.062,,0.3,-1.5,-1.2,0.4
7,Robert Pack,31,74,1260,14.8,.493,.073,.322,2.6,9.3,5.9,38.2,2.7,0.1,21.7,22.0,,0.4,0.7,1.1,.043,,-1.3,-2.0,-3.2,-0.4
8,Kevin Willis,38,43,1059,14.1,.459,.010,.157,11.0,20.8,15.9,4.7,1.9,2.0,9.5,20.9,,0.3,1.1,1.4,.063,,-2.8,-0.6,-3.4,-0.4
9,Keon Clark,25,35,752,11.0,.463,.000,.528,8.3,18.7,13.4,7.0,1.1,4.0,16.4,17.4,,-0.2,0.7,0.5,.031,,-4.3,1.1,-3.1,-0.2
10,Ryan Bowen,25,57,696,13.3,.585,.076,.306,9.6,8.1,8.8,6.8,2.8,1.2,12.8,12.0,,1.2,0.4,1.7,.114,,0.2,0.7,0.9,0.5
11,Mark Strickland,30,46,517,13.3,.476,.005,.319,8.9,16.4,12.6,5.5,1.2,2.5,10.2,20.3,,0.2,0.4,0.6,.054,,-3.4,-1.4,-4.9,-0.4
12,Tariq Abdul-Wahad,26,29,420,5.8,.438,.090,.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,,-0.7,0.3,-0.4,-0.049,,-5.9,0.0,-5.9,-0.4
13,Terry Davis,33,19,228,6.7,.476,.000,.880,11.3,14.0,12.6,4.4,0.2,0.3,12.6,7.8,,0.2,0.0,0.2,.051,,-2.9,-1.3,-4.1,-0.1
14,Anthony Goldwire,29,20,201,12.6,.469,.425,.213,0.5,6.0,3.2,28.0,2.3,0.0,14.6,22.7,,0.0,0.1,0.1,.023,,-0.9,-4.2,-5.1,-0.2
15,Calbert Cheaney,29,9,153,4.1,.340,.000,.067,3.5,10.8,7.1,8.6,1.4,0.9,13.9,10.5,,-0.2,0.1,-0.1,-0.035,,-5.8,0.1,-5.7,-0.1
16,Tracy Murray,29,13,135,9.8,.421,.418,.182,3.2,14.7,8.9,10.6,1.5,0.5,9.2,21.6,,-0.1,0.1,0.0,-0.002,,-2.9,-2.7,-5.6,-0.1
17,Dan McClintock,23,6,58,9.9,.446,.000,.278,18.5,13.3,15.9,2.9,0.0,2.4,12.9,17.8,,0.0,0.0,0.0,.007,,-3.4,-3.2,-6.6,-0.1
18,Garth Joseph,27,2,8,-21.3,.000,.000,.667,0.0,0.0,0.0,0.0,0.0,8.6,20.5,27.2,,-0.1,0.0,-0.1,-0.707,,-25.5,-1.6,-27.1,-0.1
