
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Carmelo Anthony,19,82,2995,17.6,.509,.146,.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,,3.7,2.4,6.1,.098,,1.2,-1.2,0.1,1.6
2,Andre Miller,27,82,2838,18.8,.541,.069,.437,5.0,9.7,7.3,29.1,2.6,0.6,16.1,20.7,,6.1,2.6,8.8,.148,,2.6,0.2,2.8,3.4
3,Nene Hilario,21,77,2504,14.8,.578,.003,.559,6.8,16.0,11.3,10.7,2.4,1.2,18.9,17.0,,3.1,3.0,6.1,.117,,0.1,1.6,1.7,2.4
4,Voshon Lenard,30,73,2233,13.5,.512,.310,.195,2.3,7.9,5.1,11.6,1.4,0.4,9.1,21.9,,2.8,1.2,4.0,.086,,0.9,-2.4,-1.4,0.3
5,Marcus Camby,29,72,2162,17.8,.511,.004,.248,10.9,27.4,19.0,9.6,2.0,6.1,13.9,14.3,,2.6,4.3,6.9,.154,,-0.9,4.9,4.1,3.3
6,Earl Boykins,27,82,1849,16.2,.501,.223,.211,2.5,6.3,4.4,27.3,1.4,0.1,10.7,22.2,,3.3,0.8,4.1,.105,,1.4,-3.4,-2.0,0.0
7,Jon Barry,34,57,1101,14.6,.535,.465,.239,2.5,10.2,6.3,20.6,2.7,0.5,13.9,15.2,,1.7,1.1,2.8,.122,,1.2,-0.5,0.7,0.7
8,Chris Andersen,25,71,1029,14.4,.486,.005,.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,,0.5,1.9,2.4,.111,,-3.7,4.2,0.5,0.7
9,Rodney White,23,72,985,16.4,.527,.186,.222,5.0,14.1,9.5,11.3,1.7,1.4,13.2,26.4,,0.8,0.9,1.8,.087,,-0.5,-2.1,-2.6,-0.1
10,Francisco Elson,27,62,875,11.2,.498,.005,.226,8.3,18.1,13.1,5.6,2.1,3.1,13.8,12.7,,0.6,1.2,1.8,.097,,-2.6,1.7,-1.0,0.2
11,Ryan Bowen,28,52,392,9.9,.395,.000,.226,11.1,14.0,12.5,6.4,2.4,2.9,9.3,7.2,,0.3,0.5,0.8,.097,,-2.3,2.6,0.3,0.2
12,Michael Doleac,26,26,344,9.1,.452,.000,.165,9.1,16.0,12.5,6.3,0.9,1.2,9.6,14.7,,0.2,0.3,0.5,.069,,-3.0,-1.1,-4.1,-0.2
13,Nikoloz Tskitishvili,20,39,307,7.1,.393,.090,.238,8.7,14.6,11.6,5.2,1.0,1.8,11.2,21.7,,-0.3,0.3,-0.1,-0.012,,-5.6,-2.6,-8.2,-0.5
14,Jeff Trepagnier,24,11,96,2.3,.308,.105,.158,7.0,10.7,8.8,6.4,1.6,0.0,12.9,21.3,,-0.3,0.1,-0.2,-0.122,,-7.8,-2.8,-10.7,-0.2
15,Mark Pope,31,4,20,-9.0,.410,.000,.500,0.0,17.2,8.5,0.0,2.6,0.0,55.1,11.9,,-0.1,0.0,-0.1,-0.172,,-12.5,-0.8,-13.3,-0.1
