
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Terry Tyler,23,82,2670,14.2,.499,.013,.202,8.9,15.8,12.3,6.4,1.8,4.3,14.8,17.0,,0.9,2.5,3.4,.062,,-1.5,1.8,0.3,1.6
2,John Long,23,69,2364,16.4,.535,.010,.167,6.7,8.3,7.5,13.0,2.4,0.6,14.2,23.7,,2.4,1.2,3.6,.072,,1.3,-1.0,0.2,1.3
3,Bob McAdoo,28,58,2097,16.3,.524,.023,.314,5.0,18.5,11.7,13.9,1.6,1.6,16.9,25.8,,0.5,1.6,2.0,.047,,-0.7,-0.3,-1.0,0.5
4,Leon Douglas,25,70,1782,11.4,.529,.002,.407,10.0,19.6,14.8,8.5,0.8,1.8,19.1,14.3,,1.0,1.1,2.1,.057,,-1.7,0.1,-1.5,0.2
5,Eric Money,24,55,1467,11.7,.539,.000,.204,2.0,5.0,3.5,21.8,1.6,0.4,20.5,18.3,,0.6,0.2,0.8,.026,,-1.6,-2.7,-4.3,-0.9
6,Bob Lanier,31,37,1392,20.3,.593,.009,.360,8.1,20.2,14.1,12.7,1.2,2.3,14.3,21.8,,3.1,1.1,4.2,.146,,2.3,0.3,2.6,1.6
7,Terry Duerod,23,67,1331,11.7,.498,.089,.110,2.3,5.5,3.9,12.4,1.4,0.4,11.2,20.4,,0.6,0.2,0.7,.026,,-1.5,-3.3,-4.8,-1.0
8,Greg Kelser,22,50,1233,16.1,.520,.025,.342,10.5,13.1,11.8,12.6,2.2,1.4,17.0,25.7,,0.6,0.9,1.4,.056,,0.1,-0.9,-0.7,0.4
9,Phil Hubbard,23,64,1189,13.7,.534,.004,.488,10.0,18.4,14.1,7.9,1.8,0.4,18.0,21.6,,0.7,0.9,1.6,.064,,-1.6,-1.7,-3.3,-0.4
10,Roy Hamilton,22,72,1116,9.1,.472,.007,.523,4.2,5.9,5.0,21.0,1.9,0.2,25.1,16.2,,-0.7,0.3,-0.4,-0.016,,-3.6,-2.1,-5.7,-1.1
11,Jim McElroy,26,36,1012,11.4,.517,.039,.334,1.2,4.0,2.6,21.0,1.1,0.7,17.7,18.9,,0.5,0.0,0.5,.025,,-1.9,-3.5,-5.4,-0.9
12,Ron Lee,27,31,803,13.1,.474,.262,.248,3.8,8.0,5.9,26.5,4.7,0.8,22.3,14.6,,0.2,0.9,1.0,.061,,-0.2,1.1,0.8,0.6
13,Kent Benson,25,17,502,12.4,.499,.021,.235,6.2,19.0,12.6,13.6,1.7,1.9,19.8,19.7,,-0.2,0.4,0.3,.026,,-2.4,0.5,-1.9,0.0
14,Earl Evans,24,36,381,10.3,.495,.129,.300,7.1,13.6,10.3,12.9,1.6,0.1,18.5,19.6,,-0.1,0.2,0.1,.015,,-2.2,-2.1,-4.3,-0.2
15,John Shumate,27,9,228,15.1,.572,.000,.385,8.2,24.2,16.1,5.1,1.8,1.1,15.6,15.2,,0.3,0.2,0.5,.101,,-1.8,-0.6,-2.4,0.0
16,Steve Malovic,23,10,162,5.9,.417,.000,.560,5.8,12.4,9.1,9.9,0.6,1.6,22.4,9.5,,-0.1,0.0,0.0,-0.006,,-4.6,-0.3,-4.8,-0.1
17,Jackie Robinson,24,7,51,17.1,.618,.059,.647,6.1,4.2,5.1,0.0,2.6,3.1,8.4,18.0,,0.1,0.0,0.2,.167,,-0.2,-2.9,-3.2,0.0
