
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
23,Mark Aguirre,SF,6-6,232,December 10 1959,8,DePaul University
20,William Bedford,C,7-0,225,December 14 1963,2,University of Memphis
4,Joe Dumars,SG,6-3,190,May 24 1963,4,McNeese State University
53,James Edwards,C,7-0,225,November 22 1955,12,University of Washington
33,Dave Greenwood,PF,6-9,222,May 27 1957,10,University of California Los Angeles
35,Scott Hastings,PF,6-10,235,June 3 1960,7,University of Arkansas
12,Gerald Henderson,PG,6-2,175,January 16 1956,10,Virginia Commonwealth University
15,Vinnie Johnson,SG,6-2,200,September 1 1956,10,Baylor University
3,Stan Kimbrough,PG,5-11,153,April 24 1966,R,Xavier University
40,Bill Laimbeer,C,6-11,245,May 19 1957,9,University of Notre Dame
35,Ralph Lewis,SG,6-6,200,March 28 1963,2,La Salle University
10,Dennis Rodman,PF,6-7,210,May 13 1961,3,Southeastern Oklahoma State University
22,John Salley,PF,6-11,230,May 16 1964,3,Georgia Institute of Technology
11,Isiah Thomas,PG,6-1,180,April 30 1961,8,Indiana University
