
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Joe Dumars,27,80,80,3046,10.7,22.2,.481,0.2,0.8,.311,10.4,21.4,.488,6.4,7.1,.890,1.1,2.1,3.2,7.6,1.5,0.1,3.2,2.3,27.9,,115,108
2,Dennis Rodman,29,82,77,2747,5.2,10.6,.493,0.1,0.6,.200,5.1,10.1,.509,2.1,3.3,.631,6.9,12.6,19.5,1.6,1.2,1.0,1.8,5.3,12.7,,116,101
3,Bill Laimbeer,33,82,81,2668,7.3,15.2,.478,0.7,2.4,.296,6.6,12.8,.513,2.4,2.9,.837,3.4,11.0,14.4,3.1,0.7,1.1,1.9,4.7,17.7,,114,103
4,Vinnie Johnson,34,82,28,2390,8.9,20.5,.434,0.2,0.7,.324,8.6,19.7,.438,2.9,4.6,.646,2.4,3.7,6.1,5.9,1.6,0.3,2.6,3.6,20.9,,103,107
5,Mark Aguirre,31,78,13,2006,10.9,23.7,.462,0.6,2.0,.308,10.3,21.6,.477,6.2,8.3,.757,3.5,6.2,9.7,3.6,1.2,0.5,3.3,5.4,28.7,,109,105
6,James Edwards,35,72,70,1903,10.5,21.7,.484,0.0,0.1,.500,10.5,21.7,.484,5.9,8.1,.729,2.5,5.1,7.6,1.8,0.3,0.8,3.5,6.8,26.9,,105,108
7,Isiah Thomas,29,48,46,1657,9.1,21.0,.435,0.6,2.0,.292,8.5,18.9,.450,5.6,7.2,.782,1.1,3.9,5.0,14.1,2.4,0.3,5.8,3.7,24.5,,103,105
8,John Salley,26,74,1,1649,5.7,11.9,.475,0.0,0.0,.000,5.7,11.9,.476,5.9,8.1,.727,4.3,6.0,10.4,2.2,1.6,3.5,2.9,7.6,17.2,,111,102
9,William Bedford,27,60,4,562,9.9,22.5,.438,0.5,1.2,.385,9.4,21.3,.441,5.1,7.2,.705,5.1,7.1,12.2,3.0,0.2,3.3,3.0,7.1,25.3,,106,104
10,Gerald Henderson,35,23,10,392,6.7,15.6,.427,0.9,2.8,.333,5.7,12.8,.448,2.1,2.8,.762,1.1,3.9,4.9,8.3,1.6,0.3,3.7,5.7,16.4,,100,107
11,John Long,34,25,0,256,7.1,17.3,.412,0.4,1.2,.333,6.7,16.1,.418,4.9,5.1,.960,1.8,4.7,6.5,3.7,1.8,0.4,2.9,3.5,19.6,,104,105
12,Lance Blanks,24,38,0,214,6.3,14.9,.426,0.5,3.9,.125,5.9,11.0,.533,2.4,3.4,.714,1.0,3.9,4.9,6.3,2.2,0.5,4.4,8.5,15.6,,92,105
13,Tree Rollins,35,37,0,202,3.6,8.5,.424,0.0,0.0,,3.6,8.5,.424,2.1,3.6,.571,3.4,7.5,10.9,1.0,0.5,5.2,3.9,9.0,9.3,,81,101
14,Scott Hastings,30,27,0,113,7.4,12.9,.571,1.4,1.8,.750,6.0,11.1,.542,6.0,6.0,1.000,6.5,6.5,12.9,3.2,0.0,0.0,3.2,10.6,22.2,,134,108
