
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
23,Mark Aguirre,SF,6-6,232,December 10 1959,10,DePaul University
00,William Bedford,C,7-0,225,December 14 1963,4,University of Memphis
32,Lance Blanks,SG,6-4,190,September 9 1966,1,University of Texas at Austin
4,Joe Dumars,SG,6-3,190,May 24 1963,6,McNeese State University
12,Gerald Henderson,PG,6-2,175,January 16 1956,12,Virginia Commonwealth University
40,Bill Laimbeer,C,6-11,245,May 19 1957,11,University of Notre Dame
30,Bob McCann,SF,6-6,244,April 22 1964,1,Morehead State University
10,Dennis Rodman,PF,6-7,210,May 13 1961,5,Southeastern Oklahoma State University
22,John Salley,PF,6-11,230,May 16 1964,5,Georgia Institute of Technology
3,Brad Sellers,PF,7-0,210,December 17 1962,4,Ohio State University
14,Charles Thomas,SG,6-3,175,October 3 1969,R,Eastern Michigan University
11,Isiah Thomas,PG,6-1,180,April 30 1961,10,Indiana University
5,Darrell Walker,SG,6-4,180,March 9 1961,8,University of Arkansas
0-6,Orlando Woolridge,SF,6-9,215,December 16 1959,10,University of Notre Dame
