
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Grant Hill,24,80,80,3147,625,1259,.496,10,33,.303,615,1226,.502,.500,450,633,.711,123,598,721,583,144,48,259,186,1710
2,Lindsey Hunter,26,82,76,3023,421,1042,.404,166,468,.355,255,574,.444,.484,158,203,.778,59,174,233,154,129,24,96,206,1166
3,Joe Dumars,33,79,79,2923,385,875,.440,166,384,.432,219,491,.446,.535,222,256,.867,38,153,191,318,57,1,128,97,1158
4,Otis Thorpe,34,79,79,2661,419,787,.532,0,2,.000,419,785,.534,.532,198,303,.653,226,396,622,133,59,17,145,298,1036
5,Terry Mills,29,79,5,1997,312,702,.444,175,415,.422,137,287,.477,.569,58,70,.829,68,309,377,99,35,27,85,161,857
6,Theo Ratliff,23,76,38,1292,179,337,.531,0,0,,179,337,.531,.531,81,116,.698,109,147,256,13,29,111,56,181,439
7,Michael Curry,28,81,2,1217,99,221,.448,23,77,.299,76,144,.528,.500,97,108,.898,23,96,119,43,31,12,28,128,318
8,Grant Long,30,65,24,1166,123,275,.447,17,47,.362,106,228,.465,.478,63,84,.750,88,134,222,39,43,6,48,106,326
9,Aaron McKie,24,42,3,850,97,209,.464,18,48,.375,79,161,.491,.507,51,61,.836,27,101,128,77,43,7,42,69,263
10,Don Reid,23,47,14,462,54,112,.482,0,1,.000,54,111,.486,.482,24,32,.750,36,65,101,14,16,15,23,105,132
11,Litterial Green,26,45,0,311,30,64,.469,0,10,.000,30,54,.556,.469,30,47,.638,6,16,22,41,16,1,15,27,90
12,Stacey Augmon,28,20,3,292,31,77,.403,0,0,,31,77,.403,.403,28,41,.683,14,35,49,15,10,10,27,29,90
13,Rick Mahorn,38,22,7,218,20,54,.370,0,1,.000,20,53,.377,.370,16,22,.727,19,34,53,6,4,3,10,34,56
14,Jerome Williams,23,33,0,177,20,51,.392,0,0,,20,51,.392,.392,9,17,.529,22,28,50,7,13,1,13,18,49
15,Kenny Smith,31,9,0,64,8,20,.400,5,10,.500,3,10,.300,.525,2,2,1.000,0,5,5,10,1,0,3,2,23
16,Randolph Childress,24,4,0,30,4,10,.400,2,3,.667,2,7,.286,.500,0,0,,0,1,1,2,2,0,5,5,10
,Team Totals,,82,,19830,2827,6095,.464,582,1499,.388,2245,4596,.488,.512,1487,1995,.745,858,2292,3150,1554,632,283,1041,1652,7723
