
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ben Wallace,28,73,73,2873,2.6,5.5,.481,0.0,0.1,.167,2.6,5.4,.485,1.1,2.4,.450,3.7,10.4,14.1,1.5,1.3,2.9,1.1,2.2,6.3
2,Clifford Robinson,36,81,69,2825,4.7,11.9,.398,1.1,3.3,.336,3.6,8.6,.422,2.1,3.0,.676,1.0,3.0,4.1,3.4,1.1,1.1,2.0,3.3,12.6
3,Richard Hamilton,24,82,82,2640,7.8,17.5,.443,0.4,1.6,.269,7.3,15.9,.461,6.0,7.2,.833,1.2,3.1,4.3,2.8,0.9,0.2,2.7,3.4,22.0
4,Chauncey Billups,26,74,74,2327,5.7,13.5,.421,2.3,5.9,.392,3.4,7.6,.443,4.9,5.6,.878,0.6,3.6,4.2,4.4,1.0,0.2,2.1,2.1,18.5
5,Corliss Williamson,29,82,1,2061,6.5,14.4,.453,0.0,0.2,.182,6.5,14.2,.456,4.1,5.2,.790,2.6,3.7,6.3,1.8,0.8,0.5,2.2,4.2,17.2
6,Michael Curry,34,78,77,1555,2.1,5.3,.402,0.4,1.3,.296,1.8,4.1,.434,0.8,1.0,.800,0.4,2.6,2.9,2.4,1.0,0.1,1.0,3.8,5.5
7,Jon Barry,33,80,0,1473,4.7,10.4,.450,2.1,5.2,.407,2.5,5.1,.495,2.1,2.4,.860,0.8,3.6,4.4,5.0,1.5,0.3,2.0,2.5,13.6
8,Chucky Atkins,28,65,7,1398,4.3,12.0,.361,2.2,6.2,.355,2.1,5.7,.368,1.0,1.3,.816,0.5,1.9,2.5,4.5,0.7,0.1,2.0,2.8,11.9
9,Mehmet Okur,23,72,9,1366,4.7,11.1,.426,1.0,3.0,.339,3.7,8.2,.457,2.5,3.5,.733,3.1,5.7,8.8,1.9,0.7,1.0,1.7,4.4,13.0
10,Zeljko Rebraca,30,30,12,488,5.9,10.7,.552,0.0,0.0,,5.9,10.7,.552,2.8,3.5,.792,2.0,4.8,6.8,0.7,0.4,1.3,2.1,5.8,14.6
11,Tayshaun Prince,22,42,5,435,4.4,9.8,.449,1.7,3.9,.426,2.7,5.9,.465,0.9,1.4,.647,0.4,3.3,3.7,2.0,0.8,1.2,1.7,2.1,11.3
12,Hubert Davis,32,43,1,328,3.4,8.7,.392,1.3,4.0,.333,2.1,4.7,.442,0.5,0.7,.833,0.7,3.3,4.0,3.2,0.5,0.0,1.2,2.5,8.7
13,Danny Manning,36,13,0,89,5.3,12.9,.406,1.2,3.2,.375,4.0,9.7,.417,2.0,2.4,.833,2.8,4.4,7.3,2.8,3.6,1.2,2.8,4.4,13.8
14,Pepe Sanchez,25,9,0,37,0.0,4.9,.000,0.0,0.0,,0.0,4.9,.000,0.0,0.0,,3.9,1.9,5.8,7.8,4.9,0.0,1.9,2.9,0.0
15,Don Reid,29,1,0,10,0.0,10.8,.000,0.0,0.0,,0.0,10.8,.000,3.6,7.2,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,3.6
