
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tayshaun Prince,30,78,78,32.8,6.1,12.8,.473,0.4,1.3,.347,5.6,11.6,.486,.490,1.5,2.2,.702,1.0,3.2,4.2,2.8,0.4,0.5,1.1,1.2,14.1
2,Rodney Stuckey,24,70,54,31.2,5.2,11.8,.439,0.4,1.3,.289,4.8,10.5,.457,.455,4.7,5.4,.866,1.0,2.1,3.1,5.2,1.1,0.1,2.2,2.5,15.5
3,Greg Monroe,20,80,48,27.8,3.8,6.9,.551,0.0,0.0,.000,3.8,6.9,.552,.551,1.8,2.9,.622,3.1,4.4,7.5,1.3,1.2,0.6,1.0,2.5,9.4
4,Richard Hamilton,32,55,39,27.2,5.2,12.2,.429,1.0,2.6,.382,4.2,9.6,.442,.470,2.7,3.1,.849,0.4,1.9,2.3,3.1,0.7,0.1,1.6,1.7,14.1
5,Ben Gordon,27,82,27,26.0,4.1,9.4,.440,1.3,3.2,.402,2.8,6.1,.460,.510,1.7,2.0,.850,0.5,1.9,2.4,2.1,0.6,0.2,1.7,2.2,11.2
6,Tracy McGrady,31,72,39,23.4,3.2,7.1,.442,0.4,1.2,.341,2.7,5.9,.462,.471,1.3,1.8,.698,0.7,2.8,3.5,3.5,0.9,0.5,1.4,1.4,8.0
7,Ben Wallace,36,54,49,22.9,1.2,2.8,.450,0.0,0.0,.500,1.2,2.7,.449,.453,0.4,1.1,.333,2.4,4.1,6.5,1.3,1.0,1.0,0.8,1.5,2.9
8,Charlie Villanueva,26,76,11,21.9,4.1,9.3,.442,1.6,4.3,.387,2.5,5.1,.488,.530,1.2,1.5,.767,0.7,3.2,3.9,0.6,0.6,0.6,0.9,2.3,11.1
9,Austin Daye,22,72,16,20.1,2.7,6.5,.410,1.0,2.4,.401,1.7,4.2,.415,.483,1.1,1.5,.759,0.9,2.9,3.8,1.1,0.5,0.5,0.8,2.3,7.5
10,Will Bynum,28,61,5,18.4,3.0,6.7,.448,0.3,0.8,.320,2.7,5.8,.466,.468,1.7,2.0,.836,0.2,1.0,1.2,3.2,0.9,0.1,1.4,1.9,7.9
11,Chris Wilcox,28,57,29,17.5,3.3,5.6,.581,0.0,0.0,.000,3.3,5.6,.583,.581,0.9,1.6,.562,1.7,3.1,4.8,0.8,0.5,0.3,0.8,2.5,7.4
12,Jason Maxiell,27,57,14,16.3,1.6,3.3,.492,0.0,0.0,,1.6,3.3,.492,.492,0.9,1.7,.515,1.2,1.9,3.0,0.3,0.4,0.4,0.8,1.6,4.2
13,DaJuan Summers,23,22,1,9.0,1.3,3.1,.406,0.4,1.0,.429,0.9,2.2,.396,.471,0.4,0.9,.450,0.1,0.5,0.5,0.1,0.1,0.0,0.6,1.0,3.4
