
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
25,Jim Barnett,PG,6-4,170,July 7 1944,6,University of Oregon
24,Rick Barry,SF,6-7,205,March 28 1944,6,University of Miami
31,Joe Ellis,PF,6-6,175,May 3 1944,6,University of San Francisco
1-44,Walt Hazzard,PG,6-2,185,April 15 1942,8,University of California Los Angeles
10,Charles Johnson,SG,6-0,170,March 31 1949,R,University of California
52,George Johnson,C,6-11,205,December 18 1948,R,Dillard University
43,Clyde Lee,PF,6-10,205,March 14 1944,6,Vanderbilt University
23,Jeff Mullins,SG,6-4,190,March 18 1942,8,Duke University
33,Bob Portman,SF,6-5,200,March 22 1947,3,Creighton University
32,Cazzie Russell,SF,6-5,218,June 7 1944,6,University of Michigan
42,Nate Thurmond,C,6-11,225,July 25 1941,9,Bowling Green State University
21,Ron Williams,PG,6-3,188,September 24 1944,4,West Virginia University
