
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Rick Barry,29,80,2918,22.4,.515,,.266,3.4,13.8,8.7,24.7,2.6,0.7,,,,7.1,3.4,10.4,.172,,5.3,0.3,5.6,5.7
2,Cazzie Russell,29,82,2574,17.6,.513,,.163,5.3,7.6,6.5,11.3,0.9,0.3,,,,6.0,1.1,7.1,.133,,1.8,-3.0,-1.2,0.5
3,Jeff Mullins,31,77,2498,15.1,.509,,.168,3.3,7.0,5.2,16.8,1.2,0.4,,,,4.3,1.2,5.6,.107,,1.0,-1.7,-0.7,0.8
4,Nate Thurmond,32,62,2463,15.0,.492,,.414,9.8,23.6,16.8,8.2,0.7,3.6,,,,2.6,3.4,6.0,.117,,-1.0,2.5,1.5,2.2
5,Butch Beard,26,79,2134,15.5,.559,,.379,6.2,11.0,8.6,17.7,2.2,0.2,,,,3.7,1.9,5.6,.126,,2.0,0.5,2.5,2.4
6,Jim Barnett,29,77,1689,16.4,.517,,.299,4.3,8.0,6.2,16.8,1.5,0.3,,,,3.2,1.0,4.1,.118,,1.2,-1.9,-0.7,0.6
7,Clyde Lee,29,54,1642,9.8,.483,,.377,11.1,23.1,17.2,4.8,0.7,0.5,,,,0.9,1.7,2.6,.076,,-2.7,0.7,-2.0,0.0
8,George Johnson,25,66,1291,15.9,.500,,.299,14.2,23.8,19.1,7.0,1.2,4.7,,,,1.2,2.2,3.4,.125,,-1.2,2.3,1.1,1.0
9,Charles Johnson,24,59,1051,12.3,.433,,.118,4.5,11.1,7.9,12.8,2.6,0.3,,,,-0.1,1.1,1.0,.044,,-2.4,-0.5,-2.9,-0.2
10,Derrek Dickey,22,66,930,13.4,.536,,.283,12.8,21.5,17.2,7.1,0.8,0.8,,,,1.3,1.0,2.3,.116,,-1.1,-0.4,-1.5,0.1
11,Joe Ellis,29,50,515,8.5,.344,,.163,6.9,15.3,11.2,8.7,2.8,0.9,,,,-0.9,0.7,-0.2,-0.020,,-5.6,0.4,-5.2,-0.4
