
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chris Mullin,26,78,78,36.3,8.7,16.3,.536,1.1,3.0,.372,7.6,13.3,.573,.570,6.5,7.3,.889,1.7,4.3,5.9,4.1,1.6,0.6,3.1,1.8,25.1
2,Mitch Richmond,24,78,78,35.9,8.2,16.5,.497,0.4,1.2,.358,7.8,15.3,.508,.510,5.2,6.0,.866,1.3,3.4,4.6,2.9,1.3,0.3,2.6,2.7,22.1
3,Tim Hardaway,23,79,78,33.7,5.9,12.5,.471,0.3,1.1,.274,5.6,11.4,.489,.483,2.7,3.5,.764,0.7,3.2,3.9,8.7,2.1,0.2,3.3,2.9,14.7
4,Terry Teagle,29,82,49,29.0,6.6,13.7,.480,0.0,0.2,.214,6.5,13.5,.483,.481,3.0,3.6,.830,1.4,3.1,4.5,1.9,1.1,0.2,1.8,2.8,16.1
5,Rod Higgins,30,82,22,24.3,3.7,7.7,.481,0.8,2.4,.347,2.9,5.4,.540,.534,2.9,3.5,.821,1.5,3.7,5.1,1.6,0.6,0.6,1.1,2.2,11.1
6,Sarunas Marciulionis,25,75,3,22.6,3.9,7.4,.519,0.1,0.5,.256,3.7,6.9,.539,.528,4.2,5.4,.787,1.1,1.8,2.9,1.6,1.3,0.1,1.8,3.1,12.1
7,Tom Tolbert,24,70,21,19.2,3.1,6.3,.493,0.1,0.3,.278,3.0,6.1,.502,.499,2.5,3.4,.726,1.7,3.4,5.2,0.8,0.3,0.4,1.1,2.7,8.8
8,Winston Garland,25,51,4,17.5,2.1,5.6,.375,0.0,0.2,.100,2.1,5.5,.385,.377,1.0,1.2,.841,0.6,1.6,2.2,3.1,0.9,0.1,1.6,1.5,5.3
9,Manute Bol,27,75,20,17.5,0.7,2.3,.331,0.1,0.6,.188,0.6,1.6,.388,.358,0.3,0.7,.510,0.4,3.2,3.7,0.5,0.2,3.2,0.7,2.6,1.9
10,Jim Petersen,27,43,19,13.8,1.4,3.3,.426,0.0,0.0,.000,1.4,3.3,.429,.426,1.2,1.7,.712,1.1,2.6,3.7,0.5,0.4,0.5,0.8,2.4,4.0
11,Alton Lister,31,3,0,13.3,1.3,2.7,.500,0.0,0.3,.000,1.3,2.3,.571,.500,1.3,2.3,.571,1.7,1.0,2.7,0.7,0.3,0.0,0.0,2.7,4.0
12,Uwe Blab,27,40,33,12.0,0.8,2.2,.379,0.0,0.0,,0.8,2.2,.379,.379,0.4,0.8,.548,0.7,1.8,2.5,0.6,0.0,0.6,0.8,2.3,2.1
13,Kelvin Upshaw,27,23,0,11.0,2.2,4.5,.490,0.1,0.4,.222,2.1,4.1,.516,.500,1.0,1.3,.774,0.3,1.0,1.2,1.1,1.1,0.0,0.7,1.5,5.6
14,Chris Welp,26,14,2,10.1,1.1,2.7,.421,0.0,0.0,,1.1,2.7,.421,.421,1.3,1.6,.783,0.8,1.8,2.6,0.3,0.4,0.6,0.6,2.6,3.6
15,Marques Johnson,33,10,0,9.9,1.2,3.2,.375,0.2,0.3,.667,1.0,2.9,.345,.406,1.4,1.7,.824,0.8,0.9,1.7,0.9,0.0,0.1,1.0,1.2,4.0
16,Mike Smrek,27,13,3,8.2,0.8,1.8,.417,0.0,0.0,,0.8,1.8,.417,.417,0.1,0.5,.167,0.8,1.8,2.6,0.1,0.3,0.8,0.7,1.4,1.6
17,Leonard Taylor,23,10,0,3.7,0.0,0.6,.000,0.0,0.1,.000,0.0,0.5,.000,.000,1.1,1.6,.688,0.4,0.8,1.2,0.1,0.0,0.0,0.5,0.4,1.1
18,John Shasky,25,14,0,3.6,0.3,1.0,.286,0.0,0.0,,0.3,1.0,.286,.286,0.1,0.4,.333,0.3,0.6,0.9,0.1,0.1,0.1,0.1,0.7,0.7
