
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
10,Mookie Blaylock,PG,6-0,180,March 20 1967,11,University of Oklahoma
40,Corie Blount,PF,6-9,240,January 4 1969,7,University of Cincinnati
52,Chucky Brown,SF,6-7,214,February 29 1968,11,North Carolina State University
40,John Coker,C,7-0,253,October 28 1971,2,Boise State University
5,Vonteego Cummings,PG,6-3,185,February 29 1976,1,University of Pittsburgh
30,Bill Curley,PF,6-9,220,May 29 1972,4,Boston College
25,Erick Dampier,C,6-11,265,July 14 1975,4,Mississippi State University
15,Vinny Del Negro,PG,6-4,185,August 9 1966,10,North Carolina State University
21,Danny Fortson,PF,6-7,260,March 27 1976,3,University of Cincinnati
31,Adonal Foyle,C,6-10,250,March 9 1975,3,Colgate University
22,Ruben Garces,PF,6-9,245,October 17 1973,R,Providence College
2,Chris Garner,PG,5-10,156,February 2 1975,1,University of Memphis
20,Larry Hughes,SG,6-5,184,January 23 1979,2,Saint Louis University
44,Marc Jackson,C,6-10,270,January 16 1975,R,Temple University
33,Antawn Jamison,SF,6-8,223,June 12 1976,2,University of North Carolina
32,Adam Keefe,PF,6-9,230,February 22 1970,8,Stanford University
2,Randy Livingston,PG,6-4,209,April 2 1975,4,Louisiana State University
23,Paul McPherson,PG,6-4,210,July 3 1978,R,DePaul University
34,Chris Mills,SF,6-6,215,January 25 1970,7,University of Arizona
17,Chris Mullin,SF,6-6,200,July 30 1963,15,St. John's University
4,Chris Porter,SF,6-7,218,May 9 1978,R,Auburn University
3,Bob Sura,SG,6-5,200,March 25 1973,5,Florida State University
