
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Antawn Jamison,25,82,82,3033,614,1375,.447,68,210,.324,546,1165,.469,.471,323,440,.734,211,345,556,161,70,45,161,187,1619
2,Jason Richardson,21,80,75,2629,464,1090,.426,82,246,.333,382,844,.453,.463,141,210,.671,124,216,340,236,106,31,160,195,1151
3,Danny Fortson,25,77,76,2216,309,722,.428,1,4,.250,308,718,.429,.429,245,308,.795,290,609,899,127,44,17,160,255,864
4,Larry Hughes,23,73,56,2049,343,810,.423,18,93,.194,325,717,.453,.435,191,259,.737,83,162,245,316,113,23,171,150,895
5,Bob Sura,28,78,5,1780,250,590,.424,42,133,.316,208,457,.455,.459,236,328,.720,89,167,256,275,88,17,133,160,778
6,Erick Dampier,26,73,46,1740,209,480,.435,0,0,,209,480,.435,.435,136,211,.645,167,220,387,87,17,167,156,235,554
7,Adonal Foyle,26,79,36,1485,171,385,.444,0,0,,171,385,.444,.444,37,93,.398,150,234,384,41,36,168,76,179,379
8,Troy Murphy,21,82,4,1448,178,423,.421,3,9,.333,175,414,.423,.424,121,156,.776,99,223,322,70,36,21,84,217,480
9,Chris Mills,32,66,0,1237,178,427,.417,48,127,.378,130,300,.433,.473,85,107,.794,51,139,190,72,31,13,56,120,489
10,Gilbert Arenas,20,47,30,1155,174,384,.453,39,113,.345,135,271,.498,.504,124,160,.775,41,91,132,174,69,11,97,115,511
11,Mookie Blaylock,34,35,0,599,50,146,.342,15,42,.357,35,104,.337,.394,4,8,.500,8,44,52,114,24,4,37,20,119
12,Marc Jackson,27,17,0,169,22,65,.338,0,0,,22,65,.338,.338,40,48,.833,17,26,43,7,5,3,12,25,84
13,Dean Oliver,23,20,0,139,17,46,.370,2,13,.154,15,33,.455,.391,6,9,.667,0,8,8,21,3,0,11,16,42
14,Cedric Henderson,26,12,0,70,15,31,.484,2,4,.500,13,27,.481,.516,4,7,.571,1,2,3,4,6,2,8,4,36
15,Dean Garrett,35,5,0,31,4,15,.267,0,0,,4,15,.267,.267,0,0,,3,7,10,1,2,1,3,6,8
,Team Totals,,82,,19780,2998,6989,.429,320,994,.322,2678,5995,.447,.452,1693,2344,.722,1334,2493,3827,1706,650,523,1378,1884,8009
