
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jason Richardson,25,75,2877,19.2,.538,.332,.285,4.0,13.2,8.5,15.6,1.7,1.0,9.4,27.6,,4.5,2.8,7.3,.122,,3.2,-0.5,2.8,3.5
2,Derek Fisher,31,82,2589,14.8,.536,.333,.330,1.5,7.7,4.5,22.6,2.5,0.2,13.3,20.2,,3.4,2.4,5.8,.107,,1.0,-0.5,0.5,1.6
3,Mike Dunleavy,25,81,2578,12.5,.503,.319,.309,3.3,14.2,8.6,15.0,1.2,0.9,11.5,18.1,,1.9,2.3,4.2,.077,,-0.7,0.4,-0.3,1.1
4,Troy Murphy,25,74,2516,15.9,.529,.216,.381,8.4,24.9,16.5,6.7,1.0,0.8,9.9,19.2,,3.5,3.0,6.5,.125,,-0.7,0.1,-0.7,0.8
5,Baron Davis,26,54,1971,18.3,.489,.376,.336,2.5,11.1,6.7,42.6,2.3,0.5,13.9,25.9,,2.4,2.0,4.4,.106,,3.6,-0.4,3.2,2.6
6,Adonal Foyle,30,77,1824,10.3,.524,.000,.223,8.5,17.6,13.0,2.8,1.2,5.1,19.5,10.0,,0.3,2.5,2.8,.075,,-4.1,3.5,-0.6,0.6
7,Mickael Pietrus,23,52,1179,10.0,.500,.421,.342,5.4,10.2,7.7,6.2,1.4,0.6,14.0,21.1,,-0.3,0.9,0.6,.024,,-1.9,-1.5,-3.4,-0.4
8,Ike Diogu,22,69,1031,15.8,.596,.000,.503,10.0,14.9,12.4,4.9,0.7,2.2,16.1,21.0,,1.7,1.0,2.6,.123,,-2.0,-1.1,-3.1,-0.3
9,Andris Biedrins,19,68,1000,13.6,.595,.000,.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,,1.6,1.3,2.9,.137,,-1.5,1.7,0.2,0.6
10,Monta Ellis,20,49,886,11.1,.486,.258,.186,2.7,10.7,6.6,14.9,1.9,0.9,14.4,20.2,,-0.3,0.8,0.5,.028,,-2.7,-0.4,-3.1,-0.2
11,Zarko Cabarkapa,24,61,505,9.9,.472,.115,.483,8.0,16.7,12.3,6.5,1.3,1.0,14.2,21.7,,-0.2,0.5,0.3,.031,,-4.8,-1.4,-6.3,-0.5
12,Calbert Cheaney,34,42,448,6.0,.412,.074,.074,4.9,10.5,7.6,6.6,1.5,0.3,13.2,12.8,,-0.3,0.3,0.0,.000,,-5.4,-0.1,-5.5,-0.4
13,Will Bynum,23,15,162,8.7,.457,.173,.308,2.0,6.3,4.1,19.2,2.2,0.0,19.2,20.1,,-0.2,0.1,-0.1,-0.021,,-4.8,-1.8,-6.6,-0.2
14,Chris Taft,20,17,144,15.6,.578,.000,.158,14.4,13.5,13.9,2.4,0.7,3.6,4.7,13.2,,0.3,0.1,0.5,.155,,-0.9,-0.4,-1.3,0.0
15,Aaron Miles,22,19,118,6.0,.405,.000,.222,0.0,13.6,6.6,29.5,1.7,0.6,35.8,11.6,,-0.2,0.1,0.0,-0.015,,-7.7,-0.5,-8.2,-0.2
