
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,David Lee,28,57,57,2121,11.4,22.6,.503,0.0,0.1,.000,11.4,22.5,.506,5.4,6.9,.782,4.2,9.2,13.4,4.0,1.3,0.5,3.7,4.4,28.1,,108,109
2,Brandon Rush,26,65,1,1717,7.1,14.2,.501,3.0,6.6,.452,4.1,7.6,.544,2.0,2.5,.793,1.0,6.6,7.6,2.7,1.1,1.8,2.1,1.9,19.2,,115,110
3,Dorell Wright,26,61,61,1650,7.0,16.6,.422,3.3,9.2,.360,3.7,7.4,.500,2.5,3.1,.816,1.9,6.9,8.8,3.0,1.8,0.8,1.6,3.1,19.8,,111,109
4,Klay Thompson,21,66,29,1608,10.3,23.2,.443,3.6,8.7,.414,6.7,14.5,.460,2.6,2.9,.868,0.8,4.4,5.2,4.3,1.6,0.6,3.3,5.0,26.7,,102,111
5,Monta Ellis,26,37,37,1365,11.6,26.8,.433,1.9,5.9,.321,9.7,20.9,.465,5.8,7.1,.812,0.6,4.2,4.8,8.5,2.1,0.5,4.7,3.2,30.9,,101,111
6,Nate Robinson,27,51,9,1192,8.9,21.1,.424,2.9,7.9,.365,6.1,13.2,.459,4.1,4.9,.832,0.7,3.7,4.4,10.1,2.6,0.1,3.3,5.1,24.9,,110,110
7,Dominic McGuire,26,64,6,1127,4.3,9.7,.448,0.0,0.2,.000,4.3,9.5,.456,1.8,2.4,.736,3.4,8.0,11.3,5.1,2.0,1.7,2.6,4.8,10.5,,103,107
8,Charles Jenkins,22,51,28,893,7.6,16.9,.447,0.2,1.2,.150,7.4,15.8,.469,2.0,2.3,.872,0.5,3.5,4.0,9.9,1.9,0.3,3.5,4.9,17.3,,100,112
9,Ekpe Udoh,24,38,6,827,5.2,11.6,.443,0.0,0.0,,5.2,11.6,.443,2.9,4.0,.719,3.6,5.6,9.2,1.9,1.6,4.1,2.2,7.2,13.2,,101,107
10,Andris Biedrins,25,47,35,739,2.7,4.5,.609,0.0,0.0,,2.7,4.5,.609,0.1,0.6,.111,3.2,9.2,12.4,1.1,1.6,3.2,1.0,8.8,5.6,,118,105
11,Stephen Curry,23,26,23,732,10.3,21.0,.490,3.9,8.6,.455,6.4,12.4,.514,2.7,3.3,.809,1.1,5.2,6.2,9.8,2.8,0.6,4.6,4.4,27.2,,112,108
12,Richard Jefferson,31,22,3,580,6.4,15.1,.420,3.0,7.1,.418,3.4,8.1,.422,2.2,3.1,.686,0.7,6.1,6.8,3.0,1.1,0.6,1.6,3.4,17.8,,106,111
13,Jeremy Tyler,20,42,23,568,8.1,19.1,.421,0.0,0.1,.000,8.1,19.0,.423,2.7,4.8,.558,4.9,7.9,12.8,1.5,1.5,1.8,3.3,7.7,18.8,,89,108
14,Mickell Gladness,25,18,7,224,5.6,13.0,.429,0.0,0.0,,5.6,13.0,.429,1.4,2.8,.500,3.0,7.9,10.9,0.7,0.7,4.4,0.9,5.6,12.5,,96,107
15,Kwame Brown,29,9,3,187,5.8,11.1,.525,0.0,0.0,,5.8,11.1,.525,4.2,9.5,.441,4.4,11.4,15.8,1.1,2.2,0.0,3.9,5.8,15.8,,94,105
16,Chris Wright,23,24,1,186,6.4,12.6,.511,0.0,0.0,,6.4,12.6,.511,6.7,8.7,.774,5.3,7.3,12.6,1.1,2.0,3.6,2.2,6.1,19.6,,120,106
17,Mikki Moore,36,7,0,118,4.0,8.8,.450,0.0,0.0,,4.0,8.8,.450,2.6,3.1,.857,3.1,6.6,9.7,2.2,1.3,1.3,3.1,10.6,10.6,,96,109
18,Ish Smith,23,6,1,63,9.9,24.8,.400,1.7,4.1,.400,8.3,20.6,.400,0.8,1.7,.500,1.7,5.8,7.4,7.4,3.3,0.0,0.8,3.3,22.3,,101,107
19,Keith Benson,23,3,0,9,0.0,5.8,.000,0.0,0.0,,0.0,5.8,.000,0.0,0.0,,11.6,5.8,17.3,0.0,0.0,0.0,0.0,0.0,0.0,,98,115
20,Earl Barron,30,2,0,9,11.6,23.1,.500,0.0,0.0,,11.6,23.1,.500,0.0,0.0,,5.8,0.0,5.8,0.0,0.0,0.0,0.0,28.9,23.1,,110,117
