
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
40,Richard Anderson,PF,6-10,240,November 19 1960,2,University of California Santa Barbara
5,Dave Feitl,C,6-11,235,June 8 1962,R,University of Texas at El Paso
20,Steve Harris,SG,6-5,195,October 15 1963,1,University of Tulsa
4,Conner Henry,SG,6-7,195,July 21 1963,R,University of California Santa Barbara
1,Buck Johnson,SF,6-7,190,January 3 1964,R,University of Alabama
30,Allen Leavell,PG,6-1,170,May 27 1957,7,Oklahoma City University
32,Lewis Lloyd,SG,6-6,205,February 22 1959,5,Drake University
18,Cedric Maxwell,SF,6-8,205,November 21 1955,9,University of North Carolina at Charlotte
22,Rodney McCray,SF,6-7,220,August 29 1961,3,University of Louisville
10,Dirk Minniefield,PG,6-3,180,January 17 1961,1,University of Kentucky
34,Hakeem Olajuwon,C,7-0,255,January 21 1963,2,University of Houston
43,Jim Petersen,PF,6-10,235,February 22 1962,2,University of Minnesota
33,Robert Reid,SG,6-8,205,August 30 1955,8,St. Mary's University
50,Ralph Sampson,PF,7-4,228,July 7 1960,3,University of Virginia
15,Mitchell Wiggins,SG,6-4,185,September 28 1959,3,Florida State University
