
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
6,Walter Berry,PF,6-8,215,May 14 1964,2,St. John's University
35,Tony Brown,SG,6-6,185,July 29 1960,3,University of Arkansas
3,Derrick Chievous,SF,6-7,195,July 3 1967,R,University of Missouri
21,Sleepy Floyd,PG,6-3,170,March 6 1960,6,Georgetown University
1,Buck Johnson,SF,6-7,190,January 3 1964,2,University of Alabama
15,Frank Johnson,PG,6-1,185,November 23 1958,7,Wake Forest University
30,Allen Leavell,SG,6-1,170,May 27 1957,9,Oklahoma City University
40,Tim McCormick,C,6-11,240,March 10 1962,4,University of Michigan
52,Chuck Nevitt,C,7-5,217,June 13 1959,5,North Carolina State University
34,Hakeem Olajuwon,C,7-0,255,January 21 1963,4,University of Houston
10,Purvis Short,SF,6-7,210,July 2 1957,10,Jackson State University
25,Bernard Thompson,PF,6-6,210,August 30 1962,4,California State University Fresno
33,Otis Thorpe,PF,6-9,225,August 5 1962,4,Providence College
,Mike Woodson,SG,6-5,195,March 24 1958,8,Indiana University
