
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Otis Thorpe,29,82,3056,17.2,.619,.007,.491,10.7,20.5,15.7,12.8,0.9,0.7,17.1,19.7,,5.6,3.2,8.9,.140,,1.8,0.7,2.5,3.5
2,Kenny Smith,26,81,2735,15.0,.557,.151,.278,1.4,5.7,3.6,30.9,1.9,0.2,18.2,19.8,,3.4,1.7,5.1,.089,,0.3,-2.2,-1.8,0.1
3,Vernon Maxwell,26,80,2700,14.1,.514,.389,.220,1.6,8.3,5.0,18.9,1.9,0.6,11.8,24.3,,1.7,2.1,3.9,.069,,1.2,-1.6,-0.4,1.1
4,Hakeem Olajuwon,29,70,2636,23.7,.553,.001,.364,10.7,24.7,17.8,9.9,2.4,6.8,12.0,25.6,,4.2,5.6,9.8,.178,,0.7,4.3,5.0,4.7
5,Buck Johnson,28,80,2202,10.0,.492,.014,.226,4.9,10.7,7.9,10.4,1.7,1.3,13.0,15.8,,0.3,2.0,2.3,.050,,-2.6,0.8,-1.8,0.1
6,Sleepy Floyd,31,82,1662,12.1,.478,.175,.241,2.3,7.6,5.0,22.1,1.7,0.7,14.1,23.7,,-0.3,1.2,0.9,.025,,-2.1,-2.0,-4.2,-0.9
7,Matt Bullard,24,80,1278,12.6,.546,.371,.112,6.5,12.7,9.7,8.9,1.0,1.0,10.7,17.8,,1.3,1.0,2.4,.089,,-0.1,-1.5,-1.5,0.1
8,Larry Smith,34,45,800,8.1,.537,.011,.120,15.3,20.2,17.8,5.4,1.3,0.5,31.2,7.6,,0.2,0.9,1.2,.069,,-2.6,1.2,-1.4,0.1
9,Avery Johnson,26,49,772,12.3,.497,.045,.311,1.2,5.2,3.2,31.2,2.6,0.5,20.5,17.8,,0.0,0.6,0.7,.042,,-3.2,-2.3,-5.5,-0.7
10,Tree Rollins,36,59,697,11.2,.595,.000,.349,10.0,17.1,13.7,2.8,1.0,5.2,15.4,7.3,,0.8,0.9,1.7,.119,,-3.1,2.5,-0.5,0.3
11,Carl Herrera,25,43,566,10.9,.529,.006,.273,6.7,12.7,9.7,7.1,1.4,2.6,17.0,16.7,,-0.1,0.6,0.5,.045,,-3.7,0.4,-3.4,-0.2
12,Dave Jamerson,24,48,378,12.6,.471,.147,.141,6.6,6.0,6.3,14.2,2.3,0.0,10.6,26.1,,-0.1,0.3,0.2,.029,,-1.8,-2.9,-4.7,-0.3
13,John Turner,24,42,345,7.8,.472,.000,.602,12.6,12.6,12.6,5.0,0.9,0.7,20.5,19.6,,-0.4,0.3,-0.1,-0.021,,-5.3,-2.1,-7.4,-0.5
14,Gerald Henderson,36,8,34,4.3,.440,.273,.545,3.4,3.2,3.3,20.8,0.0,0.0,22.7,22.5,,-0.1,0.0,-0.1,-0.092,,-6.2,-5.4,-11.6,-0.1
15,Kennard Winchester,25,4,17,-0.4,.333,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,,0.0,0.0,0.0,-0.047,,-7.4,-2.6,-10.1,0.0
16,Dan Godfread,24,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.005,,-6.8,0.1,-6.7,0.0
