
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Hakeem Olajuwon,32,72,72,2853,10.1,19.5,.517,0.0,0.2,.188,10.0,19.3,.520,5.1,6.8,.756,2.2,7.6,9.8,3.2,1.7,3.1,3.0,3.2,25.3
2,Robert Horry,24,64,61,2074,4.2,9.3,.447,1.5,3.9,.379,2.7,5.4,.497,1.5,2.0,.761,1.4,4.2,5.6,3.7,1.6,1.3,2.1,2.8,11.3
3,Vernon Maxwell,29,64,54,2038,5.4,13.7,.394,2.5,7.8,.324,2.9,5.9,.485,1.7,2.5,.688,0.3,2.6,2.9,4.8,1.3,0.2,2.4,2.8,15.1
4,Kenny Smith,29,81,81,2030,5.1,10.5,.484,2.5,5.9,.429,2.6,4.6,.553,2.2,2.6,.851,0.5,2.3,2.7,5.7,1.3,0.2,2.2,1.9,14.9
5,Mario Elie,31,81,13,1896,4.6,9.2,.499,1.5,3.8,.398,3.1,5.4,.570,2.7,3.2,.842,0.9,2.8,3.7,3.6,1.2,0.2,2.0,3.0,13.5
6,Sam Cassell,25,82,1,1882,4.8,11.3,.427,1.2,3.7,.330,3.6,7.7,.473,4.1,4.9,.843,0.7,3.3,4.0,7.7,1.8,0.3,3.2,4.0,15.0
7,Pete Chilcutt,26,68,17,1347,3.9,8.8,.445,0.9,2.3,.407,3.0,6.5,.459,0.8,1.1,.738,2.8,5.6,8.5,1.8,0.7,1.1,1.6,3.1,9.6
8,Carl Herrera,28,61,26,1331,4.6,8.8,.523,0.0,0.1,.000,4.6,8.8,.526,2.0,3.2,.624,2.7,4.9,7.5,1.2,1.1,1.0,1.9,3.7,11.2
9,Clyde Drexler,32,35,34,1300,7.4,14.6,.506,1.7,4.7,.357,5.7,9.9,.575,4.3,5.4,.809,1.9,4.9,6.8,4.3,1.7,0.6,2.5,2.5,20.7
10,Otis Thorpe,32,36,35,1188,6.2,11.1,.563,0.0,0.1,.000,6.2,11.0,.567,2.0,3.8,.528,3.4,6.3,9.8,1.8,0.7,0.4,2.3,3.1,14.5
11,Chucky Brown,26,41,14,814,4.6,7.7,.603,0.0,0.1,.333,4.6,7.6,.608,1.7,2.7,.613,2.8,5.5,8.4,1.3,0.5,0.6,1.3,4.6,11.0
12,Tim Breaux,24,42,2,340,4.8,12.8,.372,0.6,2.6,.240,4.1,10.2,.406,3.4,5.2,.653,1.7,1.9,3.6,1.6,1.2,0.4,1.7,2.6,13.6
13,Tracy Murray,23,25,0,203,5.7,14.2,.400,3.4,8.0,.422,2.3,6.2,.371,0.9,1.4,.625,0.4,3.5,3.9,0.9,1.2,0.5,2.7,5.5,15.6
14,Scott Brooks,29,28,0,186,6.8,12.6,.538,1.5,3.3,.471,5.2,9.3,.563,3.5,4.1,.857,0.2,2.3,2.5,4.3,1.5,0.2,2.7,2.7,18.6
15,Zan Tabak,24,37,0,182,4.7,10.5,.453,0.0,0.2,.000,4.7,10.3,.462,5.3,8.7,.614,4.5,6.7,11.3,0.8,0.4,1.4,3.6,7.3,14.8
16,Charles Jones,37,3,0,36,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,1.0,2.0,.500,2.0,5.0,7.0,0.0,0.0,1.0,0.0,8.0,3.0
17,Adrian Caldwell,28,7,0,30,1.2,4.8,.250,0.0,0.0,,1.2,4.8,.250,3.6,7.2,.500,1.2,10.8,12.0,0.0,1.2,0.0,1.2,7.2,6.0
