
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steve Francis,23,80,79,3194,550,1219,.451,133,336,.396,417,883,.472,.506,358,438,.817,190,363,553,517,141,31,265,274,1591
2,Cuttino Mobley,25,79,49,3002,527,1214,.434,90,252,.357,437,962,.454,.471,394,474,.831,83,314,397,195,84,26,165,169,1538
3,Shandon Anderson,27,82,82,2396,263,590,.446,46,170,.271,217,420,.517,.485,138,188,.734,72,261,333,189,82,40,131,202,710
4,Maurice Taylor,24,69,69,1972,390,797,.489,0,4,.000,390,793,.492,.489,119,162,.735,109,269,378,104,28,38,125,208,899
5,Kenny Thomas,23,74,21,1820,206,465,.443,25,92,.272,181,373,.485,.470,91,126,.722,122,295,417,77,40,43,116,178,528
6,Moochie Norris,27,82,6,1654,184,413,.446,25,89,.281,159,324,.491,.476,151,194,.778,44,154,198,283,69,2,107,84,544
7,Walt Williams,30,72,31,1583,202,513,.394,98,248,.395,104,265,.392,.489,97,126,.770,31,214,245,97,30,28,73,153,599
8,Hakeem Olajuwon,38,58,55,1545,283,568,.498,0,1,.000,283,567,.499,.498,123,198,.621,124,307,431,72,70,88,81,141,689
9,Matt Bullard,33,61,5,1000,129,305,.423,86,213,.404,43,92,.467,.564,10,14,.714,22,108,130,42,10,9,12,76,354
10,Kelvin Cato,26,35,13,624,64,111,.577,0,0,,64,111,.577,.577,37,57,.649,47,94,141,11,13,31,25,89,165
11,Carlos Rogers,29,39,0,544,75,110,.682,0,1,.000,75,109,.688,.682,29,52,.558,48,91,139,9,10,18,17,33,179
12,Dan Langhi,23,33,0,241,37,99,.374,0,1,.000,37,98,.378,.374,16,29,.552,13,28,41,4,7,1,8,16,90
13,Jason Collier,23,23,0,222,27,71,.380,0,1,.000,27,70,.386,.380,17,24,.708,12,25,37,6,2,3,11,27,71
14,Sean Colson,25,10,0,30,6,19,.316,1,4,.250,5,15,.333,.342,2,4,.500,2,1,3,7,1,0,0,6,15
15,Anthony Miller,29,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
,Team Totals,,82,,19830,2943,6494,.453,504,1412,.357,2439,5082,.480,.492,1582,2086,.758,919,2524,3443,1613,587,358,1204,1657,7972
