
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
42,Mike Bantom,PF,6-9,200,December 3 1951,5,Saint Joseph's University
10,Corky Calhoun,SF,6-7,210,November 1 1950,6,University of Pennsylvania
20,Brad Davis,PG,6-3,180,December 17 1955,1,University of Maryland
16,Johnny Davis,PG,6-2,170,October 21 1955,2,University of Dayton
40,James Edwards,C,7-0,225,November 22 1955,1,University of Washington
41,Len Elmore,C,6-9,220,March 28 1952,4,University of Maryland
22,Alex English,SF,6-7,190,January 5 1954,2,University of South Carolina
24,Steve Green,SF,6-7,220,October 4 1953,3,Indiana University
25,Billy Knight,SF,6-6,195,June 9 1952,4,University of Pittsburgh
21,Wayne Radford,SG,6-3,205,May 29 1956,R,Indiana University
53,Rick Robey,C,6-11,230,January 30 1956,R,University of Kentucky
14,Ricky Sobers,SG,6-3,198,January 15 1953,3,University of Nevada Las Vegas
27,Kevin Stacom,SG,6-3,185,September 4 1951,4,Providence College
