
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Vern Fleming,23,80,77,2870,5.5,10.8,.506,0.0,0.1,.167,5.5,10.7,.508,3.3,4.4,.745,1.3,3.6,4.8,6.3,1.6,0.1,2.6,2.9,14.2
2,Herb Williams,27,78,74,2770,8.1,16.6,.492,0.0,0.2,.083,8.1,16.4,.496,3.8,5.2,.730,2.2,7.0,9.2,2.3,0.6,2.4,2.7,3.2,20.1
3,Steve Stipanovich,25,79,65,2397,6.2,13.3,.470,0.0,0.2,.200,6.2,13.1,.473,3.6,4.7,.768,2.6,6.8,9.4,3.1,1.1,1.0,2.2,3.9,16.2
4,Wayman Tisdale,21,81,60,2277,8.2,15.8,.515,0.0,0.0,.000,8.2,15.8,.516,2.5,3.7,.684,3.0,6.2,9.2,1.2,0.5,0.7,3.0,4.6,18.8
5,Clint Richardson,29,82,61,2224,5.4,11.9,.455,0.0,0.1,.111,5.4,11.8,.459,2.0,2.4,.837,1.1,2.9,4.1,6.0,0.9,0.1,2.2,2.5,12.9
6,Ron Anderson,27,60,27,1469,6.7,13.6,.493,0.0,0.2,.250,6.6,13.4,.496,1.8,2.7,.658,3.1,3.0,6.1,3.3,1.3,0.1,1.9,2.6,15.2
7,Terence Stansbury,24,74,17,1331,5.2,11.9,.433,0.2,1.4,.170,4.9,10.5,.469,2.9,3.6,.811,0.8,3.0,3.8,5.6,1.6,0.2,3.8,5.4,13.5
8,Bill Garnett,25,80,2,1197,3.4,7.2,.469,0.0,0.1,.000,3.4,7.1,.473,3.5,4.9,.716,3.2,5.1,8.3,2.9,1.2,0.7,2.7,5.2,10.2
9,Bill Martin,23,66,0,691,7.5,15.5,.480,0.0,0.4,.000,7.5,15.1,.493,2.4,2.8,.852,2.2,3.1,5.3,2.7,1.1,0.4,3.0,5.6,17.3
10,Bryan Warrick,26,31,5,658,4.4,9.4,.471,0.1,0.5,.200,4.3,8.9,.488,2.9,3.7,.791,0.5,3.1,3.6,6.0,1.4,0.1,2.6,4.2,11.9
11,Clark Kellogg,24,19,12,568,8.8,18.6,.473,0.3,0.8,.308,8.6,17.8,.480,3.4,4.4,.768,3.2,7.4,10.6,3.6,1.8,0.5,3.9,3.7,21.2
12,Dwayne McClain,22,45,4,461,5.4,14.1,.383,0.1,0.7,.111,5.3,13.4,.398,1.4,2.7,.514,1.1,1.2,2.3,5.2,3.0,0.3,3.1,4.8,12.3
13,Stuart Gray,22,67,3,423,4.6,9.2,.500,0.0,0.0,,4.6,9.2,.500,4.0,6.3,.635,3.8,6.2,10.0,1.3,0.7,0.9,2.7,8.0,13.2
14,Quinn Buckner,31,32,3,419,4.2,8.9,.471,0.0,0.1,.000,4.2,8.8,.476,1.6,2.3,.704,0.8,3.6,4.4,7.4,3.4,0.3,4.7,6.9,10.1
