
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mark Jackson,30,81,81,2643,296,626,.473,64,149,.430,232,477,.486,.524,150,191,.785,66,241,307,635,100,5,201,153,806
2,Reggie Miller,30,76,76,2621,504,1066,.473,168,410,.410,336,656,.512,.552,430,498,.863,38,176,214,253,77,13,189,175,1606
3,Dale Davis,26,78,77,2617,334,599,.558,0,0,,334,599,.558,.558,135,289,.467,252,457,709,76,56,112,119,238,803
4,Derrick McKey,29,75,75,2440,346,712,.486,17,68,.250,329,644,.511,.498,170,221,.769,123,238,361,262,83,44,143,246,879
5,Antonio Davis,27,82,14,2092,236,482,.490,1,2,.500,235,480,.490,.491,246,345,.713,188,313,501,43,33,66,87,248,719
6,Rik Smits,29,63,63,1901,466,894,.521,1,5,.200,465,889,.523,.522,231,293,.788,119,314,433,110,21,45,160,226,1164
7,Ricky Pierce,36,76,2,1404,264,590,.447,35,104,.337,229,486,.471,.477,174,205,.849,40,96,136,101,57,6,93,188,737
8,Haywoode Workman,30,77,4,1164,101,259,.390,23,71,.324,78,188,.415,.434,54,73,.740,27,97,124,213,65,4,93,152,279
9,Eddie Johnson,36,62,1,1002,180,436,.413,45,128,.352,135,308,.438,.464,70,79,.886,45,108,153,69,20,4,56,104,475
10,Duane Ferrell,30,54,6,591,80,166,.482,0,8,.000,80,158,.506,.482,42,57,.737,32,61,93,30,23,3,34,83,202
11,Travis Best,23,59,1,571,69,163,.423,8,25,.320,61,138,.442,.448,75,90,.833,11,33,44,97,20,3,63,80,221
12,Adrian Caldwell,29,51,1,327,46,83,.554,0,0,,46,83,.554,.554,18,36,.500,42,68,110,6,9,5,35,73,110
13,Dwayne Schintzius,27,33,8,297,49,110,.445,0,0,,49,110,.445,.445,13,21,.619,23,55,78,14,9,12,19,53,111
14,Fred Hoiberg,23,15,1,85,8,19,.421,1,3,.333,7,16,.438,.447,15,18,.833,4,5,9,8,6,1,7,12,32
,Team Totals,,82,,19755,2979,6205,.480,363,973,.373,2616,5232,.500,.509,1823,2416,.755,1010,2262,3272,1917,579,323,1335,2031,8144
