
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Reggie Miller,32,81,81,34.5,6.4,13.3,.477,2.0,4.7,.429,4.3,8.6,.504,.553,4.7,5.4,.868,0.6,2.3,2.9,2.1,1.0,0.1,1.6,1.8,19.5
2,Mark Jackson,32,82,82,29.4,3.0,7.3,.416,0.5,1.7,.314,2.5,5.6,.447,.452,1.7,2.2,.761,0.8,3.1,3.9,8.7,1.0,0.0,2.1,1.6,8.3
3,Rik Smits,31,73,69,28.6,7.0,14.2,.495,0.0,0.0,.000,7.0,14.2,.497,.495,2.6,3.3,.783,1.7,5.2,6.9,1.4,0.5,1.2,1.8,3.3,16.7
4,Dale Davis,28,78,78,27.9,3.5,6.4,.548,0.0,0.0,,3.5,6.4,.548,.548,1.0,2.2,.465,3.0,4.8,7.8,0.9,0.7,1.1,0.9,2.7,8.0
5,Antonio Davis,29,82,12,26.7,3.1,6.4,.481,0.0,0.0,.000,3.1,6.4,.484,.481,3.4,4.9,.696,2.3,4.5,6.8,0.7,0.5,0.9,1.3,2.9,9.6
6,Chris Mullin,34,82,82,26.5,4.1,8.4,.481,1.3,3.0,.440,2.8,5.5,.503,.559,1.9,2.0,.939,0.5,2.6,3.0,2.3,1.2,0.5,1.4,2.3,11.3
7,Derrick McKey,31,57,4,23.1,2.6,5.7,.459,0.1,0.3,.235,2.6,5.4,.471,.465,1.0,1.4,.714,1.3,2.4,3.7,1.5,1.0,0.5,1.4,2.7,6.3
8,Jalen Rose,25,82,0,20.8,3.5,7.4,.478,0.3,0.9,.342,3.2,6.5,.496,.498,2.0,2.8,.728,0.3,2.0,2.4,1.9,0.7,0.2,1.6,2.1,9.4
9,Travis Best,25,82,0,18.9,2.5,5.9,.419,0.3,0.9,.300,2.2,5.0,.439,.441,1.4,1.6,.855,0.3,1.1,1.5,3.4,1.0,0.1,1.4,2.4,6.5
10,Fred Hoiberg,25,65,1,13.4,1.3,3.4,.383,0.5,1.3,.376,0.8,2.1,.387,.455,0.9,1.1,.855,0.2,1.7,1.9,0.7,0.6,0.0,0.3,1.6,4.0
11,Austin Croshere,22,26,0,9.3,1.2,3.3,.372,0.2,0.5,.308,1.1,2.8,.384,.395,0.3,0.5,.571,0.4,1.3,1.7,0.3,0.3,0.2,0.5,1.2,2.9
12,Mark West,37,15,1,7.0,0.7,1.4,.476,0.0,0.0,,0.7,1.4,.476,.476,0.2,0.4,.500,0.4,0.6,1.0,0.1,0.1,0.3,0.5,1.0,1.5
13,Mark Pope,25,28,0,6.9,0.5,1.5,.341,0.0,0.1,.333,0.5,1.4,.342,.354,0.4,0.6,.588,0.3,0.6,0.9,0.3,0.1,0.2,0.4,1.3,1.4
14,Etdrick Bohannon,24,5,0,2.2,0.0,0.8,.000,0.0,0.0,,0.0,0.8,.000,.000,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.4,0.6,0.6,0.0
