
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
13,Kenny Anderson,PG,6-0,168,October 9 1970,12,Georgia Institute of Technology
24,Jonathan Bender,SF,6-11,202,January 30 1981,4,
2,Jamison Brewer,PG,6-4,184,November 19 1980,2,Auburn University
27,Primoz Brezec,C,7-2,252,October 2 1979,2,
44,Austin Croshere,PF,6-9,235,May 1 1975,6,Providence College
10,Jeff Foster,C,6-11,236,January 16 1977,4,Texas State University
3,Al Harrington,PF,6-9,230,February 17 1980,5,
8,Anthony Johnson,PG,6-3,190,October 2 1974,6,College of Charleston
20,Fred Jones,SG,6-4,210,March 11 1979,1,University of Oregon
33,James Jones,SF,6-8,218,October 4 1980,R,University of Miami
31,Reggie Miller,SG,6-7,185,August 24 1965,16,University of California Los Angeles
7,Jermaine O'Neal,PF,6-11,226,October 13 1978,7,
62,Scot Pollard,C,6-11,265,February 12 1975,6,University of Kansas
11,Jamaal Tinsley,PG,6-3,195,February 28 1978,2,Iowa State University
23,Metta World Peace,SF,6-6,260,November 13 1979,4,St. John's University
