
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
9,Kenny Dennard,PF,6-8,220,October 18 1958,1,Duke University
13,Leon Douglas,C,6-10,230,August 26 1954,6,University of Alabama
22,Larry Drew,PG,6-1,170,April 2 1958,2,University of Missouri
8,Eddie Johnson,SF,6-7,215,May 1 1959,1,University of Illinois at Urbana-Champaign
32,Reggie Johnson,SF,6-9,205,June 25 1957,2,University of Tennessee
33,Steve Johnson,C,6-10,235,November 3 1957,1,Oregon State University
51,Reggie King,SF,6-6,225,February 14 1957,3,University of Alabama
30,Kevin Loder,SF,6-6,205,March 15 1959,1,Alabama State University
50,Joe Meriweather,C,6-10,215,October 26 1953,7,Southern Illinois University
20,Ed Nealy,PF,6-7,238,February 19 1960,R,Kansas State University
14,Brook Steppe,SG,6-5,195,November 7 1959,R,Georgia Institute of Technology
41,LaSalle Thompson,C,6-10,245,June 23 1961,R,University of Texas at Austin
25,Ray Williams,PG,6-3,188,October 14 1954,5,University of Minnesota
42,Mike Woodson,SG,6-5,195,March 24 1958,2,Indiana University
