
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Eddie Johnson,25,82,3029,16.2,.542,.035,.238,5.7,9.6,7.7,13.4,1.3,0.4,11.5,25.5,,4.4,0.9,5.3,.083,,1.4,-1.7,-0.3,1.3
2,Reggie Theus,27,82,2543,17.0,.559,.037,.376,4.8,7.3,6.1,35.3,1.7,0.4,20.4,23.4,,3.7,0.9,4.6,.086,,2.0,-1.8,0.3,1.5
3,LaSalle Thompson,23,82,2458,15.6,.579,.000,.453,12.8,26.7,19.8,6.8,1.8,2.9,19.5,16.6,,2.3,3.0,5.3,.103,,-0.3,2.1,1.8,2.3
4,Larry Drew,26,72,2373,14.7,.538,.031,.212,1.9,6.0,3.9,27.8,1.8,0.2,15.2,19.6,,2.9,0.7,3.6,.073,,0.7,-2.2,-1.5,0.3
5,Mark Olberding,28,81,2277,12.2,.603,.006,.667,7.0,18.6,12.9,13.2,1.1,0.3,21.3,15.0,,2.8,1.3,4.1,.085,,-0.1,0.5,0.4,1.4
6,Mike Woodson,26,78,1998,17.5,.548,.020,.309,4.0,7.3,5.7,10.8,2.7,0.8,10.3,26.7,,3.0,1.2,4.2,.101,,0.9,-1.6,-0.8,0.6
7,Otis Thorpe,22,82,1918,16.6,.620,.003,.542,11.2,21.8,16.5,8.1,0.8,1.1,18.1,21.3,,2.8,1.3,4.0,.100,,0.7,-1.1,-0.4,0.8
8,Joe Meriweather,31,76,1061,10.2,.570,.008,.510,10.2,18.0,14.1,3.1,0.7,1.4,14.4,12.9,,1.3,0.6,1.8,.083,,-1.8,-1.3,-3.1,-0.3
9,Don Buse,34,65,939,10.5,.504,.429,.148,2.6,4.8,3.7,25.7,1.9,0.1,17.2,11.0,,1.0,0.2,1.3,.064,,-0.5,-2.6,-3.1,-0.3
10,Pete Verhoeven,25,54,366,8.6,.517,.000,.231,8.8,10.8,9.8,5.9,1.9,1.0,14.4,15.0,,0.2,0.2,0.4,.053,,-2.1,-0.8,-2.9,-0.1
11,Ed Nealy,24,22,225,9.6,.592,.000,.432,7.7,14.6,11.2,9.9,0.6,0.2,18.6,11.3,,0.2,0.1,0.3,.058,,-1.4,-1.0,-2.4,0.0
12,Mark McNamara,25,33,210,12.0,.511,.000,.759,13.1,17.8,15.5,3.6,1.1,1.8,14.4,17.0,,0.1,0.1,0.2,.053,,-2.7,-1.8,-4.5,-0.1
13,Billy Knight,32,16,189,10.2,.500,.014,.232,6.1,7.2,6.6,14.6,0.5,0.3,14.6,18.6,,0.1,0.0,0.1,.021,,-2.1,-3.0,-5.1,-0.1
14,David Pope,22,22,129,2.1,.349,.019,.245,8.0,7.9,8.0,4.9,1.1,1.3,10.7,20.1,,-0.3,0.0,-0.2,-0.088,,-6.7,-2.8,-9.4,-0.2
15,Dane Suttle,23,6,24,14.3,.504,.077,.154,0.0,14.1,7.1,12.3,1.9,0.0,6.7,24.5,,0.0,0.0,0.0,.072,,-2.0,-3.3,-5.4,0.0
16,Kenny Natt,26,4,16,7.3,.000,.000,.000,7.2,0.0,3.6,20.2,2.9,0.0,0.0,2.5,,0.0,0.0,0.0,.049,,-2.9,0.1,-2.8,0.0
