
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tiny Archibald,24,80,3681,25.2,.555,,.372,,,3.2,38.9,,,,,,13.9,0.3,14.2,.186,,,,,
2,Sam Lacey,24,79,2930,13.8,.498,,.179,,,16.6,8.5,,,,,,2.3,0.3,2.7,.044,,,,,
3,Matt Guokas,28,79,2846,11.2,.594,,.159,,,4.5,17.7,,,,,,5.0,0.2,5.2,.087,,,,,
4,Nate Williams,22,80,1979,12.9,.504,,.152,,,8.9,9.2,,,,,,2.3,0.1,2.5,.060,,,,,
5,Ron Riley,22,74,1634,11.7,.456,,.183,,,16.2,6.2,,,,,,-0.2,0.2,0.0,.000,,,,,
6,Tom Van Arsdale,29,49,1282,13.0,.501,,.256,,,7.0,9.7,,,,,,1.4,0.1,1.5,.057,,,,,
7,Johnny Green,39,66,1245,14.6,.626,,.413,,,15.1,6.2,,,,,,3.5,0.1,3.7,.141,,,,,
8,Don Kojis,34,77,1240,14.8,.518,,.238,,,8.3,9.3,,,,,,2.1,0.1,2.2,.084,,,,,
9,Dick Gibbs,24,66,733,6.6,.416,,.285,,,6.7,10.3,,,,,,-0.6,0.0,-0.5,-0.035,,,,,
10,Mike Ratliff,21,58,681,10.2,.443,,.357,,,14.8,7.2,,,,,,-0.3,0.1,-0.2,-0.014,,,,,
11,Toby Kimball,30,67,643,11.6,.473,,.305,,,15.5,5.5,,,,,,0.2,0.1,0.2,.018,,,,,
12,John Block,28,25,483,13.9,.525,,.422,,,13.0,5.2,,,,,,0.8,0.0,0.8,.082,,,,,
13,John Mengelt,23,12,212,7.8,.413,,.279,,,5.4,14.9,,,,,,-0.2,0.0,-0.2,-0.039,,,,,
14,Frank Schade,23,9,76,5.8,.519,,.857,,,4.1,14.8,,,,,,0.0,0.0,0.0,.031,,,,,
15,Ken Durrett,24,8,65,7.4,.449,,.381,,,11.2,5.8,,,,,,0.0,0.0,0.0,-0.008,,,,,
16,Sam Sibert,23,5,26,6.4,.395,,.385,,,8.0,0.0,,,,,,-0.1,0.0,-0.1,-0.105,,,,,
17,Pete Cross,24,3,24,-5.3,.000,,.000,,,8.7,0.0,,,,,,-0.1,0.0,-0.1,-0.207,,,,,
