
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
00,Benoit Benjamin,C,7-0,250,November 22 1964,2,Creighton University
15,Steve Burtt,SG,6-2,185,November 5 1962,1,Iona College
44,Michael Cage,PF,6-9,224,January 28 1962,3,San Diego State University
45,Norris Coleman,SF,6-8,210,September 27 1961,R,Kansas State University
25,Earl Cureton,PF,6-9,210,September 3 1957,7,University of Detroit Mercy
20,Quintin Dailey,SG,6-3,180,January 22 1961,5,University of San Francisco
2,Larry Drew,PG,6-1,170,April 2 1958,7,University of Missouri
54,Kenny Fields,SF,6-5,220,February 9 1962,3,University of California Los Angeles
4,Lancaster Gordon,SG,6-3,185,June 24 1962,3,University of Louisville
43,Claude Gregory,PF,6-8,205,December 26 1958,1,University of Wisconsin
32,Greg Kite,C,6-11,250,August 5 1961,4,Brigham Young University
46,Tod Murphy,PF,6-9,220,December 24 1963,R,University of California Irvine
51,Martin Nessley,C,7-2,260,February 16 1965,R,Duke University
33,Ken Norman,SF,6-8,215,September 5 1964,R,University of Illinois at Urbana-Champaign
14,Michael Phelps,SG,6-4,180,October 3 1961,2,Alcorn State University
1,Darnell Valentine,PG,6-1,183,February 3 1959,6,University of Kansas
12,Eric White,SF,6-8,200,December 30 1965,R,Pepperdine University
34,Reggie Williams,SF,6-7,190,March 5 1964,R,Georgetown University
24,Joe Wolf,C,6-11,230,December 17 1964,R,University of North Carolina
42,Mike Woodson,SG,6-5,195,March 24 1958,7,Indiana University
