
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Lester Conner,PG,6-4,180,September 17 1959,9,Oregon State University
23,Gary Grant,PG,6-3,185,April 21 1965,4,University of Michigan
4,Ron Harper,SG,6-6,185,January 20 1964,6,Miami University
8,Jaren Jackson,SG,6-4,190,October 27 1967,2,Georgetown University
13,Mark Jackson,PG,6-1,180,April 1 1965,5,St. John's University
5,Danny Manning,PF,6-10,230,May 17 1966,4,University of Kansas
3,Ken Norman,SF,6-8,215,September 5 1964,5,University of Illinois at Urbana-Champaign
53,Stanley Roberts,C,7-0,285,February 7 1970,1,Louisiana State University
27,Elmore Spencer,C,7-0,270,December 6 1969,R,University of Nevada Las Vegas
25,Alex Stivrins,SF,6-8,220,November 29 1962,1,University of Colorado
55,Kiki Vandeweghe,SF,6-8,220,August 1 1958,12,University of California Los Angeles
35,Loy Vaught,PF,6-9,230,February 27 1968,2,University of Michigan
10,Duane Washington,SG,6-4,195,August 31 1964,1,Middle Tennessee State University
34,John Williams,SF,6-8,235,October 26 1966,5,Louisiana State University
14,Randy Woods,PG,5-10,185,September 23 1970,R,La Salle University
