
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Loy Vaught,27,80,78,2966,6.9,13.2,.525,0.1,0.2,.368,6.8,13.0,.528,1.8,2.5,.727,2.5,7.3,9.8,1.4,1.1,0.5,1.9,2.9,15.8
2,Bison Dele,26,65,65,2157,6.9,12.8,.543,0.0,0.1,.167,6.9,12.7,.546,3.3,4.5,.734,2.5,5.7,8.2,2.0,1.2,0.9,3.2,3.8,17.2
3,Terry Dehere,24,82,10,2018,5.6,12.2,.459,2.5,5.6,.440,3.1,6.6,.476,4.4,5.8,.755,0.7,1.8,2.6,6.2,1.0,0.3,3.4,4.3,18.1
4,Pooh Richardson,29,63,61,2013,5.0,11.9,.423,1.7,4.4,.384,3.3,7.5,.446,1.4,1.9,.743,0.6,2.2,2.8,6.1,1.4,0.2,1.7,2.4,13.1
5,Rodney Rogers,24,67,51,1950,5.6,11.8,.477,0.9,2.8,.320,4.7,9.0,.527,2.1,3.3,.628,2.1,3.2,5.3,3.1,1.4,0.6,2.7,4.0,14.3
6,Brent Barry,24,79,44,1898,5.4,11.3,.474,2.3,5.6,.416,3.0,5.7,.532,2.1,2.6,.810,0.7,2.5,3.2,4.4,1.8,0.4,2.3,3.7,15.2
7,Lamond Murray,22,77,32,1816,5.1,11.4,.447,0.7,2.3,.319,4.4,9.1,.479,2.0,2.6,.750,1.8,3.1,4.9,1.7,1.2,0.5,2.1,3.0,12.9
8,Malik Sealy,25,62,48,1601,6.1,14.7,.415,0.5,2.2,.210,5.6,12.5,.452,3.3,4.1,.799,1.7,3.7,5.4,2.6,1.9,0.6,2.5,3.4,16.0
9,Bo Outlaw,24,80,3,985,3.9,6.8,.575,0.0,0.1,.000,3.9,6.7,.585,2.6,5.9,.444,3.2,4.1,7.3,1.8,1.6,3.3,1.6,4.6,10.5
10,Stanley Roberts,25,51,7,795,6.4,13.8,.464,0.0,0.0,,6.4,13.8,.464,3.4,6.0,.556,1.9,5.4,7.3,1.9,0.7,1.8,2.2,6.9,16.1
11,Eric Piatkowski,25,65,1,784,4.5,11.1,.405,1.7,5.2,.333,2.8,5.9,.469,3.1,3.8,.817,1.8,2.9,4.7,2.2,1.1,0.5,2.1,3.8,13.8
12,Antonio Harvey,25,37,9,411,3.9,11.3,.341,0.0,0.0,,3.9,11.3,.341,1.6,3.5,.450,3.7,5.6,9.3,0.5,1.1,2.3,2.3,3.3,9.3
13,Keith Tower,25,34,1,305,3.8,8.5,.444,0.0,0.1,.000,3.8,8.4,.451,2.1,3.1,.692,2.6,3.4,6.0,0.6,0.5,1.3,1.9,5.9,9.7
14,Logan Vander Velden,24,15,0,31,3.5,16.3,.214,0.0,5.8,.000,3.5,10.5,.333,3.5,4.6,.750,1.2,5.8,7.0,1.2,0.0,0.0,0.0,4.6,10.5
