
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Maurice Taylor,22,46,45,1505,311,675,.461,1,6,.167,310,669,.463,.461,150,206,.728,100,142,242,67,16,29,120,179,773
2,Lamond Murray,25,50,13,1317,226,578,.391,34,103,.330,192,475,.404,.420,126,157,.803,59,136,195,61,58,20,99,107,612
3,Tyrone Nesby,23,50,36,1288,182,405,.449,35,96,.365,147,309,.476,.493,104,133,.782,57,118,175,82,77,20,53,143,503
4,Michael Olowokandi,23,45,36,1279,172,399,.431,0,0,,172,399,.431,.431,57,118,.483,120,237,357,25,27,55,85,137,401
5,Eric Piatkowski,28,49,38,1242,180,417,.432,65,165,.394,115,252,.456,.510,88,102,.863,39,101,140,53,44,6,53,86,513
6,Lorenzen Wright,23,48,15,1135,119,260,.458,0,1,.000,119,259,.459,.458,81,117,.692,142,219,361,33,26,36,48,162,319
7,Rodney Rogers,27,47,7,968,131,297,.441,18,63,.286,113,234,.483,.471,68,101,.673,65,114,179,77,47,22,66,140,348
8,Darrick Martin,27,37,25,941,102,278,.367,31,106,.292,71,172,.413,.423,61,76,.803,5,43,48,144,43,4,67,82,296
9,Sherman Douglas,32,30,19,842,96,219,.438,0,11,.000,96,208,.462,.438,55,87,.632,16,42,58,124,27,3,61,54,247
10,Troy Hudson,22,25,6,524,60,150,.400,15,47,.319,45,103,.437,.450,34,38,.895,15,40,55,92,11,2,38,28,169
11,Charles Smith,23,23,10,317,35,97,.361,7,33,.212,28,64,.438,.397,7,16,.438,7,17,24,13,17,14,20,35,84
12,James Robinson,28,14,0,280,39,98,.398,8,30,.267,31,68,.456,.439,20,27,.741,10,17,27,18,14,3,16,29,106
13,Brian Skinner,22,21,0,258,33,71,.465,0,0,,33,71,.465,.465,20,33,.606,20,33,53,1,10,13,19,20,86
14,Pooh Richardson,32,11,0,130,12,36,.333,0,6,.000,12,30,.400,.333,4,4,1.000,1,12,13,30,4,0,9,5,28
15,Keith Closs,22,15,0,87,12,23,.522,0,1,.000,12,22,.545,.522,8,10,.800,5,20,25,0,3,9,6,14,32
16,Stojko Vrankovic,35,2,0,12,1,4,.250,0,0,,1,4,.250,.250,0,0,,4,2,6,0,0,0,0,2,2
,Team Totals,,50,,12125,1711,4007,.427,214,668,.320,1497,3339,.448,.454,883,1225,.721,665,1293,1958,820,424,236,796,1223,4519
