
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Blake Griffin,23,80,80,2598,11.7,21.7,.538,0.1,0.6,.179,11.6,21.2,.548,5.7,8.6,.660,3.8,9.6,13.4,6.1,2.0,1.0,3.8,4.7,29.2,,114,102
2,Chris Paul,27,70,70,2335,9.3,19.3,.481,1.7,5.2,.328,7.6,14.1,.538,6.5,7.3,.885,1.2,4.7,5.9,15.3,3.8,0.2,3.6,3.2,26.7,,127,102
3,Jamal Crawford,32,76,0,2230,10.5,24.0,.438,3.5,9.4,.376,7.0,14.6,.477,5.1,5.9,.871,0.5,2.5,3.0,4.6,1.9,0.3,3.4,1.7,29.6,,109,108
4,Matt Barnes,32,80,4,2058,8.0,17.3,.462,2.8,8.3,.342,5.1,9.0,.574,2.2,3.0,.744,2.8,6.5,9.4,3.1,2.1,1.6,2.3,6.0,21.0,,113,103
5,DeAndre Jordan,24,82,82,2010,8.2,12.8,.643,0.0,0.0,,8.2,12.8,.643,2.5,6.5,.386,5.5,10.1,15.6,0.7,1.3,2.9,2.6,5.0,19.0,,113,101
6,Caron Butler,32,78,78,1879,8.5,20.2,.424,3.6,9.2,.388,5.0,10.9,.454,2.1,2.5,.833,1.1,5.1,6.3,2.2,1.4,0.3,2.0,3.9,22.8,,107,107
7,Lamar Odom,33,82,2,1616,4.8,11.9,.399,0.6,2.9,.200,4.2,9.0,.464,0.7,1.4,.476,3.8,11.8,15.6,4.6,2.2,1.9,2.8,7.0,10.8,,95,99
8,Eric Bledsoe,23,76,12,1553,8.6,19.3,.445,1.1,2.6,.397,7.5,16.6,.453,3.6,4.5,.791,2.6,5.0,7.6,7.9,3.7,1.9,4.6,3.8,21.8,,102,101
9,Willie Green,31,72,60,1188,7.9,17.1,.461,3.1,7.4,.428,4.7,9.8,.486,1.0,1.4,.719,0.8,3.5,4.3,2.4,1.3,0.5,1.4,4.3,19.9,,113,108
10,Ronny Turiaf,30,65,0,701,3.7,7.3,.505,0.0,0.0,,3.7,7.3,.505,1.7,4.7,.365,3.4,8.0,11.4,2.6,1.4,2.6,2.2,6.0,9.1,,99,103
11,Ryan Hollins,28,60,0,663,5.6,9.1,.614,0.0,0.0,,5.6,9.1,.614,5.2,7.0,.750,4.0,7.1,11.0,0.9,0.5,2.7,3.5,10.6,16.4,,115,105
12,Grant Hill,40,29,0,437,4.6,11.8,.388,0.4,1.3,.273,4.2,10.5,.402,1.7,2.9,.583,0.7,5.2,5.9,3.1,1.3,0.8,3.0,4.7,11.2,,83,107
13,Chauncey Billups,36,22,22,418,6.7,16.6,.402,4.2,11.3,.367,2.5,5.3,.476,5.7,6.0,.938,0.3,3.8,4.0,6.2,1.5,0.1,3.3,3.1,23.2,,117,108
14,Maalik Wayns,21,6,0,37,10.0,22.8,.438,2.8,8.5,.333,7.1,14.2,.500,5.7,5.7,1.000,0.0,2.8,2.8,10.0,4.3,0.0,2.8,11.4,28.5,,120,102
15,DaJuan Summers,25,2,0,7,7.5,30.1,.250,0.0,0.0,,7.5,30.1,.250,0.0,0.0,,0.0,15.0,15.0,7.5,0.0,0.0,0.0,0.0,15.0,,71,104
