
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kareem Abdul-Jabbar,38,79,2629,22.7,.603,.001,.328,6.0,14.2,10.3,15.7,1.2,2.7,11.7,26.6,,7.6,3.2,10.8,.197,,3.7,0.8,4.5,4.3
2,Magic Johnson,26,72,2578,24.0,.610,.047,.473,3.9,14.3,9.4,45.1,2.0,0.3,19.8,21.6,,9.0,3.1,12.1,.226,,5.3,0.7,5.9,5.2
3,James Worthy,24,75,2454,20.4,.613,.012,.289,6.6,11.1,9.0,11.5,1.6,1.7,10.9,22.6,,6.7,2.7,9.5,.185,,3.5,0.5,4.1,3.7
4,Michael Cooper,29,82,2269,13.5,.557,.269,.281,2.3,9.6,6.1,24.3,1.8,1.0,18.2,14.8,,3.4,2.4,5.8,.123,,1.0,0.4,1.5,2.0
5,Byron Scott,24,76,2190,15.0,.550,.062,.178,3.0,6.6,4.9,10.2,1.8,0.4,9.4,21.7,,3.2,2.0,5.2,.113,,0.8,-1.0,-0.2,1.0
6,Maurice Lucas,33,77,1750,13.8,.520,.003,.352,11.2,24.9,18.4,6.0,1.2,0.8,13.8,20.2,,1.5,2.5,4.0,.110,,-1.6,-0.3,-1.9,0.0
7,Kurt Rambis,27,74,1573,12.7,.632,.000,.454,11.8,24.9,18.7,5.1,2.0,1.2,23.1,10.8,,1.7,2.6,4.3,.131,,-0.3,2.4,2.1,1.6
8,A.C. Green,22,82,1542,11.8,.564,.015,.430,12.4,15.5,14.0,4.2,1.5,1.7,17.7,14.7,,1.4,2.0,3.3,.103,,-0.5,0.8,0.3,0.9
9,Mike McGee,26,71,1213,12.4,.513,.210,.118,5.0,8.0,6.6,9.0,2.0,0.3,10.9,21.3,,0.7,1.2,1.9,.075,,-0.2,-1.3,-1.5,0.2
10,Mitch Kupchak,31,55,783,10.7,.542,.004,.436,10.5,16.9,13.8,2.7,0.7,0.5,17.3,19.1,,0.3,0.8,1.1,.069,,-2.8,-2.2,-5.0,-0.6
11,Larry Spriggs,26,43,471,10.5,.501,.005,.255,7.1,12.2,9.8,13.3,1.8,1.1,20.2,22.9,,-0.3,0.6,0.3,.027,,-3.1,-0.1,-3.2,-0.1
12,Ronnie Lester,27,27,222,6.7,.555,.058,.365,0.0,4.9,2.6,28.6,1.9,0.7,41.0,18.6,,-0.4,0.2,-0.2,-0.050,,-6.5,-2.6,-9.1,-0.4
13,Petur Gudmundsson,27,8,128,13.9,.593,.000,.730,15.8,17.8,16.9,2.9,1.1,1.7,18.4,18.9,,0.2,0.2,0.3,.130,,-0.7,-1.4,-2.0,0.0
14,Chuck Nevitt,26,4,25,5.4,.367,.000,.545,14.3,17.3,15.9,9.4,3.7,4.4,26.8,30.1,,-0.1,0.1,-0.1,-0.137,,-9.4,2.6,-6.8,0.0
15,Jerome Henderson,26,1,3,37.7,.667,.000,.000,0.0,36.1,18.9,0.0,0.0,0.0,0.0,40.3,,0.0,0.0,0.0,.349,,2.2,-13.1,-10.9,0.0
