
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Byron Scott,26,81,81,3048,710,1348,.527,62,179,.346,648,1169,.554,.550,272,317,.858,76,257,333,335,155,27,161,204,1754
2,James Worthy,26,75,72,2655,617,1161,.531,2,16,.125,615,1145,.537,.532,242,304,.796,129,245,374,289,72,55,155,175,1478
3,Magic Johnson,28,72,70,2637,490,996,.492,11,56,.196,479,940,.510,.497,417,489,.853,88,361,449,858,114,13,269,147,1408
4,A.C. Green,24,82,64,2636,322,640,.503,0,2,.000,322,638,.505,.503,293,379,.773,245,465,710,93,87,45,120,204,937
5,Kareem Abdul-Jabbar,40,80,80,2308,480,903,.532,0,1,.000,480,902,.532,.532,205,269,.762,118,360,478,135,48,92,159,216,1165
6,Mychal Thompson,33,80,0,2007,370,722,.512,0,3,.000,370,719,.515,.512,185,292,.634,198,291,489,66,38,79,113,251,925
7,Michael Cooper,31,61,8,1793,189,482,.392,57,178,.320,132,304,.434,.451,97,113,.858,50,178,228,289,66,26,101,136,532
8,Kurt Rambis,29,70,20,845,102,186,.548,0,0,,102,186,.548,.548,73,93,.785,103,165,268,54,39,13,59,103,277
9,Wes Matthews,28,51,8,706,114,248,.460,7,30,.233,107,218,.491,.474,54,65,.831,16,50,66,138,25,3,69,65,289
10,Mike Smrek,25,48,2,421,44,103,.427,0,0,,44,103,.427,.427,44,66,.667,27,58,85,8,7,42,30,105,132
11,Milt Wagner,24,40,4,380,62,147,.422,2,10,.200,60,137,.438,.429,26,29,.897,4,24,28,61,6,4,22,42,152
12,Tony Campbell,25,13,1,242,57,101,.564,1,3,.333,56,98,.571,.569,28,39,.718,8,19,27,15,11,2,26,41,143
13,Ray Tolbert,29,14,0,82,16,28,.571,0,0,,16,28,.571,.571,10,13,.769,9,11,20,5,3,3,11,14,42
14,Billy Thompson,24,9,0,38,3,13,.231,0,0,,3,13,.231,.231,8,10,.800,2,7,9,1,1,0,6,11,14
15,Jeff Lamp,28,3,0,7,0,0,,0,0,,0,0,,,2,2,1.000,0,0,0,0,0,0,0,1,2
,Team Totals,,82,,19805,3576,7078,.505,142,478,.297,3434,6600,.520,.515,1956,2480,.789,1073,2491,3564,2347,672,404,1318,1715,9250
