
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
24,Steve Bucknall,SG,6-6,215,March 17 1966,R,University of North Carolina
21,Michael Cooper,SG,6-5,170,April 15 1956,11,University of New Mexico
12,Vlade Divac,C,7-1,243,February 3 1968,R,
10,Larry Drew,PG,6-1,170,April 2 1958,8,University of Missouri
45,A.C. Green,PF,6-9,220,October 4 1963,4,Oregon State University
55,Mike Higgins,SF,6-9,220,February 17 1967,R,University of Northern Colorado
32,Magic Johnson,PG,6-9,215,August 14 1959,10,Michigan State University
49,Mel McCants,SF,6-8,240,August 19 1967,R,Purdue University
31,Mark McNamara,C,6-11,235,June 8 1959,6,University of California
55,Jawann Oldham,C,7-0,215,July 4 1957,8,Seattle University
4,Byron Scott,SG,6-3,195,March 28 1961,6,Arizona State University
43,Mychal Thompson,C,6-10,226,January 30 1955,10,University of Minnesota
3,Jay Vincent,SF,6-7,220,June 10 1959,8,Michigan State University
0,Orlando Woolridge,SF,6-9,215,December 16 1959,8,University of Notre Dame
42,James Worthy,SF,6-9,225,February 27 1961,7,University of North Carolina
