
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Sedale Threatt,30,82,82,3070,8.6,17.6,.489,0.3,1.0,.323,8.3,16.6,.499,3.4,4.1,.831,0.7,3.6,4.3,10.0,2.8,0.3,3.1,3.9,21.0,,112,110
2,A.C. Green,28,82,53,2902,6.8,14.4,.476,0.2,1.0,.214,6.6,13.4,.495,6.1,8.2,.744,5.5,8.2,13.6,2.1,1.6,0.6,2.0,2.5,20.0,,119,108
3,Byron Scott,30,82,82,2679,8.9,19.5,.458,1.0,3.0,.344,7.9,16.4,.479,4.7,5.6,.838,1.4,4.6,6.0,4.4,2.0,0.5,2.3,2.7,23.6,,112,110
4,Sam Perkins,30,63,63,2332,8.0,17.9,.450,0.3,1.5,.217,7.7,16.3,.471,6.8,8.3,.817,4.3,8.1,12.4,3.1,1.4,1.4,1.8,4.3,23.2,,118,108
5,James Worthy,30,54,54,2108,11.1,24.8,.447,0.2,1.1,.209,10.9,23.7,.457,4.1,5.0,.814,2.4,5.1,7.5,6.2,1.9,0.6,3.1,2.2,26.5,,104,110
6,Elden Campbell,23,81,47,1876,6.1,13.6,.448,0.0,0.1,.000,6.1,13.5,.450,3.8,6.2,.619,4.3,7.4,11.7,1.6,1.5,4.4,2.0,5.6,16.0,,105,106
7,Terry Teagle,31,82,0,1602,11.8,26.1,.452,0.0,0.1,.250,11.8,26.0,.453,4.9,6.4,.766,2.9,3.0,5.9,3.7,2.1,0.3,3.7,4.8,28.5,,100,111
8,Vlade Divac,23,36,18,979,8.3,16.8,.495,0.3,1.0,.263,8.1,15.8,.510,4.6,5.9,.768,4.6,8.5,13.1,3.2,2.9,1.9,4.7,6.0,21.5,,103,104
9,Tony Smith,23,63,0,820,7.2,17.9,.399,0.0,0.7,.000,7.2,17.2,.415,3.1,4.7,.653,2.0,2.8,4.8,6.9,2.5,0.5,3.2,5.8,17.4,,95,111
10,Rory Sparrow,33,42,0,471,6.3,15.8,.399,0.2,1.4,.154,6.1,14.3,.423,0.9,1.4,.615,0.3,2.6,3.0,8.7,1.3,0.6,3.4,6.1,13.7,,89,113
11,Jack Haley,28,49,9,394,4.1,11.1,.369,0.0,0.0,,4.1,11.1,.369,1.8,3.8,.483,4.1,8.4,12.5,0.9,0.9,1.1,3.3,9.9,10.0,,80,109
12,Chucky Brown,23,36,2,381,7.5,16.1,.466,0.0,0.4,.000,7.5,15.7,.478,3.4,5.6,.610,4.0,6.4,10.4,3.1,1.2,1.0,3.7,5.6,18.4,,98,110
13,Keith Owens,22,20,0,80,5.8,20.8,.281,0.0,0.0,,5.8,20.8,.281,5.2,6.5,.800,5.2,4.5,9.7,1.9,3.2,2.6,1.3,7.1,16.9,,91,106
14,Cliff Robinson,31,9,0,78,7.3,18.0,.407,0.0,0.7,.000,7.3,17.3,.423,4.7,5.3,.875,4.7,8.0,12.6,6.0,3.3,0.0,4.7,2.7,19.3,,98,105
15,Demetrius Calip,22,7,0,58,3.6,16.1,.222,0.9,4.5,.200,2.7,11.6,.231,1.8,2.7,.667,0.9,3.6,4.5,10.7,0.9,0.0,4.5,7.2,9.8,,72,114
