
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Sedale Threatt,31,82,82,2893,6.5,12.8,.508,0.2,0.7,.264,6.3,12.1,.521,2.2,2.7,.823,0.6,2.8,3.4,7.0,1.8,0.1,2.2,3.1,15.4
2,A.C. Green,29,82,55,2819,4.8,9.0,.537,0.2,0.6,.348,4.6,8.4,.550,3.5,4.8,.739,3.7,5.4,9.1,1.5,1.1,0.5,1.5,1.9,13.4
3,Vlade Divac,24,82,69,2525,5.7,11.7,.485,0.3,1.1,.280,5.4,10.6,.505,3.4,4.9,.689,3.1,7.3,10.4,3.3,1.8,2.0,3.1,4.4,15.0
4,James Worthy,31,82,69,2359,7.8,17.4,.447,0.5,1.7,.270,7.3,15.7,.466,2.6,3.2,.810,1.1,2.7,3.8,4.2,1.4,0.4,2.1,1.3,18.6
5,Byron Scott,31,58,53,1677,6.4,14.1,.449,0.9,2.9,.326,5.4,11.2,.481,3.3,3.9,.848,0.6,2.3,2.9,3.4,1.2,0.3,1.5,2.1,17.0
6,Anthony Peeler,23,77,11,1656,6.5,13.8,.468,1.0,2.6,.390,5.5,11.2,.486,3.5,4.5,.786,1.4,2.5,3.9,3.6,1.3,0.3,2.7,4.2,17.4
7,Sam Perkins,31,49,49,1589,5.5,11.9,.459,0.1,0.7,.172,5.4,11.3,.476,4.2,5.0,.829,2.5,6.1,8.6,2.9,0.9,1.2,1.7,3.1,15.2
8,Elden Campbell,24,79,13,1551,5.5,12.1,.458,0.0,0.1,.000,5.5,12.0,.460,3.0,4.7,.637,2.9,4.8,7.7,1.1,1.4,2.3,1.6,3.8,14.1
9,Tony Smith,24,55,9,752,6.4,13.2,.484,0.1,0.5,.182,6.3,12.6,.496,3.0,3.9,.756,2.2,2.0,4.2,3.0,2.4,0.3,1.9,3.4,15.8
10,Duane Cooper,23,65,0,645,3.5,8.8,.392,0.4,1.7,.233,3.1,7.1,.430,1.4,2.0,.714,0.7,2.1,2.8,8.4,1.0,0.1,3.9,3.7,8.7
11,James Edwards,37,52,0,617,7.1,15.8,.452,0.0,0.0,,7.1,15.8,.452,4.9,6.9,.712,1.8,4.1,5.8,2.4,0.6,0.4,3.0,7.1,19.1
12,Doug Christie,22,23,0,332,4.9,11.5,.425,0.2,1.3,.167,4.7,10.2,.457,5.4,7.2,.758,2.6,2.9,5.5,5.7,2.4,0.5,5.4,5.7,15.4
13,Benoit Benjamin,28,28,0,306,6.1,12.7,.481,0.0,0.0,,6.1,12.7,.481,2.6,4.4,.595,2.8,8.5,11.3,1.2,1.6,1.5,4.2,7.2,14.8
14,Alex Blackwell,22,27,0,109,4.6,13.9,.333,0.0,1.0,.000,4.6,12.9,.359,2.0,2.6,.750,3.3,4.3,7.6,2.3,1.3,0.7,1.7,4.6,11.2
