
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Chucky Atkins,30,82,2903,13.4,.558,.500,.223,1.2,6.4,3.8,20.6,1.3,0.1,13.1,17.9,,4.7,-0.2,4.5,.074,,2.0,-2.9,-0.9,0.8
2,Caron Butler,24,77,2746,15.8,.528,.126,.322,6.0,12.4,9.2,9.3,2.1,0.6,9.9,20.7,,4.1,1.2,5.3,.093,,0.4,-0.7,-0.2,1.2
3,Kobe Bryant,26,66,2689,23.3,.563,.292,.502,4.0,12.4,8.2,28.5,1.7,1.4,14.3,31.7,,7.1,1.0,8.1,.145,,5.6,-1.0,4.6,4.5
4,Lamar Odom,25,64,2320,17.3,.539,.151,.385,6.6,25.0,15.9,17.9,1.0,2.1,15.1,20.8,,3.0,1.8,4.7,.098,,0.4,1.2,1.6,2.1
5,Chris Mihm,25,75,1870,15.7,.552,.004,.467,12.0,18.3,15.1,4.6,0.4,4.2,14.2,18.8,,2.5,1.0,3.6,.092,,-1.7,-0.5,-2.2,-0.1
6,Jumaine Jones,25,76,1830,13.1,.556,.537,.154,6.6,17.8,12.3,5.8,1.3,1.0,8.6,14.0,,2.8,0.8,3.7,.097,,0.7,-1.0,-0.4,0.8
7,Brian Grant,32,69,1136,10.0,.539,.000,.378,10.1,15.4,12.8,4.7,1.1,1.5,15.0,11.4,,1.2,0.4,1.6,.068,,-2.2,-0.4,-2.6,-0.2
8,Brian Cook,24,72,1087,14.1,.522,.472,.088,6.6,15.8,11.2,5.7,1.1,1.8,6.2,19.4,,1.5,0.5,2.0,.088,,0.3,-2.6,-2.3,-0.1
9,Tierre Brown,25,76,1066,9.5,.437,.207,.216,2.2,7.6,4.9,23.6,1.6,0.1,16.3,19.3,,-0.5,0.0,-0.5,-0.021,,-3.5,-3.1,-6.6,-1.2
10,Luke Walton,24,61,768,11.4,.492,.339,.267,8.1,12.7,10.4,19.1,1.8,1.0,22.4,15.3,,0.2,0.3,0.5,.031,,-1.5,-0.4,-1.9,0.0
11,Stanislav Medvedenko,25,43,423,11.9,.490,.006,.179,8.3,12.7,10.5,5.4,1.1,0.3,7.2,19.4,,0.4,0.1,0.5,.053,,-2.8,-3.4,-6.2,-0.4
12,Sasha Vujacic,20,35,403,8.9,.403,.538,.162,3.7,13.6,8.7,19.5,1.6,0.4,10.7,15.8,,0.0,0.1,0.2,.018,,-1.9,-1.7,-3.6,-0.2
13,Devean George,27,15,306,10.7,.488,.558,.192,4.8,14.6,9.8,7.5,1.4,0.5,9.6,18.4,,0.2,0.1,0.3,.041,,-0.7,-2.4,-3.2,-0.1
14,Vlade Divac,36,15,130,10.5,.469,.000,.387,15.7,12.1,13.9,23.1,1.6,0.6,27.8,17.5,,0.0,0.0,0.0,.013,,-2.0,-0.4,-2.4,0.0
15,Kareem Rush,24,14,91,1.3,.287,.500,.100,3.7,8.6,6.2,4.8,1.2,0.8,12.6,11.9,,-0.2,0.0,-0.2,-0.090,,-6.3,-1.8,-8.1,-0.1
16,Tony Bobbitt,25,2,12,11.7,.500,.400,.000,0.0,28.0,14.1,0.0,0.0,0.0,0.0,18.8,,0.0,0.0,0.0,.059,,-5.5,-8.4,-13.9,0.0
