
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kobe Bryant,31,73,73,38.8,9.8,21.5,.456,1.4,4.1,.329,8.5,17.4,.487,.488,6.0,7.4,.811,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0
2,Pau Gasol,29,65,65,37.0,7.0,13.0,.536,0.0,0.1,.000,7.0,12.9,.539,.536,4.4,5.6,.790,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3
3,Metta World Peace,30,77,77,33.8,4.0,9.6,.414,1.4,3.8,.355,2.6,5.8,.453,.484,1.7,2.4,.688,1.3,3.0,4.3,3.0,1.4,0.3,1.6,2.1,11.0
4,Lamar Odom,30,82,38,31.5,4.2,9.0,.463,0.7,2.2,.319,3.5,6.8,.510,.502,1.7,2.5,.693,2.2,7.5,9.8,3.3,0.9,0.7,1.8,2.8,10.8
5,Andrew Bynum,22,65,65,30.4,6.0,10.6,.570,0.0,0.0,.000,6.0,10.6,.571,.570,3.0,4.0,.739,2.7,5.6,8.3,1.0,0.5,1.4,1.8,3.0,15.0
6,Derek Fisher,35,82,82,27.2,2.6,6.8,.380,1.0,2.7,.348,1.6,4.1,.401,.450,1.4,1.6,.856,0.3,1.8,2.1,2.5,1.1,0.1,1.0,2.5,7.5
7,Shannon Brown,24,82,7,20.7,3.1,7.2,.427,0.8,2.3,.328,2.3,4.9,.474,.480,1.2,1.5,.818,0.4,1.9,2.2,1.3,0.7,0.4,0.8,1.6,8.1
8,Jordan Farmar,23,82,0,18.0,2.7,6.3,.435,1.0,2.8,.376,1.7,3.5,.483,.518,0.7,1.0,.671,0.2,1.4,1.6,1.5,0.6,0.1,0.9,1.3,7.2
9,Luke Walton,29,29,0,9.4,1.0,2.9,.357,0.2,0.6,.412,0.8,2.3,.343,.399,0.1,0.1,.500,0.4,0.9,1.3,1.4,0.3,0.0,0.4,0.7,2.4
10,Josh Powell,27,63,0,9.2,1.1,3.1,.366,0.1,0.3,.438,1.0,2.8,.360,.384,0.3,0.5,.645,0.7,1.1,1.8,0.6,0.1,0.1,0.5,1.1,2.7
11,Sasha Vujacic,25,67,1,8.6,1.0,2.4,.402,0.4,1.2,.309,0.6,1.2,.494,.479,0.4,0.5,.848,0.4,0.8,1.2,0.6,0.3,0.1,0.3,1.0,2.8
12,Adam Morrison,25,31,0,7.8,1.0,2.7,.376,0.2,0.7,.238,0.9,2.1,.422,.406,0.2,0.3,.625,0.3,0.7,1.0,0.6,0.1,0.1,0.3,0.5,2.4
13,Didier Ilunga-Mbenga,29,49,2,7.2,1.0,2.1,.466,0.0,0.0,,1.0,2.1,.466,.466,0.2,0.4,.474,0.7,1.1,1.8,0.2,0.1,0.6,0.3,1.1,2.1
