
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Pau Gasol,22,82,2948,20.7,.570,.009,.506,7.4,19.9,13.7,13.6,0.6,3.4,13.5,24.1,,6.5,2.0,8.5,.138,,1.5,0.6,2.1,3.0
2,Jason Williams,27,76,2407,17.1,.501,.470,.153,1.2,8.6,5.0,41.8,2.0,0.3,15.5,20.3,,4.0,0.7,4.7,.094,,3.1,-3.0,0.1,1.3
3,Shane Battier,24,78,2383,15.0,.597,.380,.255,6.1,10.1,8.1,6.8,2.2,2.5,9.7,13.2,,4.8,1.5,6.2,.126,,2.4,1.2,3.6,3.4
4,Lorenzen Wright,27,70,1982,14.4,.489,.007,.311,9.8,20.0,15.0,6.7,1.3,1.9,11.9,21.0,,1.0,1.5,2.5,.061,,-1.9,-0.5,-2.4,-0.2
5,Wesley Person,31,66,1941,13.5,.565,.384,.161,1.4,9.6,5.6,9.3,1.1,0.7,8.0,16.2,,3.1,0.2,3.3,.082,,1.3,-1.6,-0.3,0.8
6,Stromile Swift,23,67,1478,18.0,.542,.004,.501,8.8,20.3,14.6,5.0,1.9,4.8,14.2,21.2,,1.6,1.7,3.3,.108,,-1.9,1.0,-0.9,0.4
7,Earl Watson,23,79,1366,14.6,.505,.233,.220,3.8,9.6,6.7,25.7,3.4,0.7,17.0,17.0,,1.3,1.0,2.3,.080,,0.3,-0.1,0.2,0.8
8,Drew Gooden,21,51,1329,13.8,.486,.080,.229,9.0,15.9,12.5,8.3,1.5,1.1,14.2,25.0,,-0.3,0.7,0.4,.015,,-2.0,-1.6,-3.6,-0.5
9,Mike Batiste,25,75,1248,12.2,.476,.173,.188,7.5,15.6,11.6,6.9,1.7,0.9,12.0,20.7,,0.0,0.7,0.8,.029,,-2.2,-1.7,-3.9,-0.6
10,Gordan Giricek,25,49,1187,10.8,.522,.272,.224,1.7,8.4,5.1,10.0,1.0,0.3,15.2,23.5,,-0.1,0.0,0.0,-0.002,,-1.5,-3.3,-4.8,-0.8
11,Brevin Knight,27,55,928,11.2,.442,.035,.162,1.8,7.9,4.9,38.0,3.9,0.1,27.8,16.4,,-0.5,0.7,0.2,.008,,-3.3,-1.3,-4.6,-0.6
12,Mike Miller,22,16,360,19.0,.614,.291,.238,1.9,15.1,8.6,15.6,0.9,1.0,13.5,24.1,,0.8,0.1,0.9,.124,,2.5,-2.5,0.0,0.2
13,Ryan Humphrey,23,13,122,7.2,.364,.000,.314,3.7,23.6,13.8,4.9,2.1,1.1,4.8,15.4,,-0.1,0.1,0.0,-0.001,,-6.4,-0.6,-6.9,-0.2
14,Michael Dickerson,27,6,87,10.0,.553,.458,.208,1.3,6.4,3.9,14.1,3.0,0.8,18.6,16.7,,0.1,0.0,0.1,.054,,-0.8,-1.3,-2.1,0.0
15,Cezary Trybanski,23,15,86,-1.4,.287,.000,.500,8.0,10.3,9.2,1.6,0.0,4.8,24.7,17.0,,-0.4,0.0,-0.3,-0.186,,-10.8,-1.2,-12.0,-0.2
16,Robert Archibald,22,12,72,2.4,.340,.000,.900,9.5,17.0,13.3,6.1,0.0,2.9,20.0,21.8,,-0.3,0.0,-0.2,-0.158,,-9.5,-2.2,-11.7,-0.2
17,Chris Owens,23,1,6,20.1,.667,.000,.000,19.0,0.0,9.4,0.0,0.0,0.0,25.0,30.0,,0.0,0.0,0.0,-0.032,,-1.3,-9.3,-10.7,0.0
