
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
31,Shane Battier,SF,6-8,220,September 9 1978,2,Duke University
3,Troy Bell,PG,6-1,180,November 10 1980,R,Boston College
16,Pau Gasol,PF,7-0,250,July 6 1980,2,
40,Ryan Humphrey,PF,6-8,235,July 24 1979,1,University of Notre Dame
30,Dahntay Jones,SG,6-6,225,December 27 1980,R,Duke University
33,Mike Miller,SF,6-8,218,February 19 1980,3,University of Florida
45,Bo Outlaw,PF,6-8,210,April 13 1971,10,University of Houston
1,Wesley Person,SG,6-6,195,March 28 1971,9,Auburn University
41,James Posey,SG,6-8,215,January 13 1977,4,Xavier University
0,Theron Smith,SF,6-8,225,October 3 1980,R,Ball State University
4,Stromile Swift,PF,6-9,225,November 21 1979,3,Louisiana State University
12,Jake Tsakalidis,C,7-2,285,June 10 1979,3,
25,Earl Watson,PG,6-1,195,June 12 1979,2,University of California Los Angeles
6,Bonzi Wells,SG,6-5,210,September 28 1976,5,Ball State University
2,Jason Williams,PG,6-1,190,November 18 1975,5,University of Florida
42,Lorenzen Wright,C,6-11,225,November 4 1975,7,University of Memphis
