
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Pau Gasol,24,56,53,32.0,6.4,12.4,.514,0.0,0.1,.167,6.4,12.3,.517,.514,5.0,6.6,.768,2.3,5.0,7.3,2.4,0.7,1.7,2.4,2.6,17.8
2,Shane Battier,26,80,72,31.5,3.4,7.7,.442,0.9,2.2,.395,2.5,5.5,.461,.499,2.3,2.9,.789,2.0,3.2,5.2,1.6,1.1,1.0,0.9,2.5,9.9
3,Mike Miller,24,76,51,30.0,5.1,10.1,.505,1.8,4.3,.433,3.3,5.8,.558,.597,1.4,2.0,.720,0.5,3.5,3.9,2.9,0.7,0.3,1.7,2.6,13.4
4,Lorenzen Wright,29,80,77,28.6,4.0,8.5,.469,0.0,0.0,.000,4.0,8.5,.471,.469,1.6,2.5,.662,2.2,5.5,7.7,1.1,0.7,0.9,1.3,3.1,9.6
5,James Posey,28,50,18,27.6,2.5,7.1,.357,1.1,3.6,.309,1.4,3.6,.404,.434,1.9,2.2,.865,0.9,3.5,4.4,1.8,1.0,0.5,1.4,2.7,8.1
6,Jason Williams,29,71,68,27.5,3.7,9.1,.413,1.5,4.6,.324,2.2,4.4,.506,.496,1.1,1.4,.792,0.3,1.5,1.7,5.6,1.1,0.1,1.8,1.3,10.1
7,Brian Cardinal,27,58,16,24.7,2.8,7.4,.370,0.8,2.2,.352,2.0,5.3,.378,.421,2.7,3.1,.873,1.1,2.8,3.9,2.0,1.5,0.3,1.4,3.0,9.0
8,Earl Watson,25,80,14,22.6,3.0,6.9,.426,0.7,2.0,.319,2.3,4.9,.471,.473,1.1,1.7,.659,0.4,1.6,2.1,4.5,1.0,0.2,2.1,2.3,7.7
9,Bonzi Wells,28,69,19,21.6,3.9,8.9,.441,0.5,1.5,.346,3.4,7.4,.460,.470,2.0,2.7,.750,0.7,2.6,3.3,1.2,1.2,0.4,1.3,2.4,10.4
10,Stromile Swift,25,60,14,21.3,3.7,8.1,.449,0.0,0.1,.000,3.7,8.1,.452,.449,2.8,3.7,.758,1.5,3.0,4.6,0.7,0.7,1.5,1.5,3.0,10.1
11,Dahntay Jones,24,52,7,12.5,1.6,3.7,.437,0.4,1.2,.383,1.2,2.5,.462,.497,0.8,1.2,.688,0.2,1.1,1.3,0.4,0.3,0.2,0.6,1.6,4.5
12,Antonio Burks,24,24,0,9.1,1.2,2.5,.467,0.1,0.5,.273,1.0,2.0,.510,.492,0.6,0.8,.737,0.0,0.5,0.5,1.2,0.5,0.0,0.5,1.0,3.0
13,Ryan Humphrey,25,35,0,9.1,1.2,2.9,.408,0.0,0.1,.000,1.2,2.9,.416,.408,0.5,1.1,.486,1.4,1.1,2.5,0.2,0.3,0.0,0.7,1.0,2.9
14,Jake Tsakalidis,25,31,1,9.0,1.0,2.1,.500,0.0,0.0,,1.0,2.1,.500,.500,0.5,0.6,.778,0.7,1.1,1.8,0.3,0.1,0.5,0.4,1.4,2.5
15,Andre Emmett,22,8,0,3.5,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.4,0.6,.600,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.5,0.9
