
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Marc Gasol,28,80,2796,19.5,.559,.016,.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,,6.1,5.4,11.5,.197,,1.7,4.4,6.1,5.7
2,Mike Conley,25,80,2757,18.3,.549,.312,.300,1.8,7.9,4.8,29.5,3.4,0.7,15.1,21.0,,5.1,4.7,9.9,.172,,3.1,1.1,4.1,4.3
3,Zach Randolph,31,76,2607,17.9,.506,.022,.293,13.8,25.1,19.3,7.3,1.3,1.0,11.5,23.1,,3.2,4.7,7.9,.145,,-0.5,0.7,0.2,1.4
4,Tony Allen,31,79,2109,13.2,.489,.038,.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,,1.0,4.1,5.1,.115,,-1.6,2.9,1.3,1.8
5,Jerryd Bayless,24,80,1765,13.5,.514,.324,.196,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,,1.5,2.5,4.0,.108,,0.1,-0.2,-0.2,0.8
6,Rudy Gay,26,42,1541,14.1,.478,.188,.227,4.2,15.1,9.5,12.4,2.0,1.7,12.1,25.7,,-0.2,2.6,2.4,.075,,-1.2,1.3,0.1,0.8
7,Quincy Pondexter,24,59,1243,11.0,.565,.508,.251,4.0,8.6,6.3,7.6,1.5,0.4,11.2,13.9,,1.7,1.5,3.2,.125,,0.5,0.1,0.6,0.8
8,Tayshaun Prince,32,37,1174,10.2,.461,.122,.110,2.9,12.9,7.8,11.6,1.2,0.8,9.0,15.2,,0.3,1.6,1.8,.075,,-2.1,1.2,-0.9,0.3
9,Darrell Arthur,24,59,970,11.8,.477,.050,.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,,0.2,1.5,1.7,.084,,-2.9,0.5,-2.4,-0.1
10,Wayne Ellington,25,40,676,9.8,.529,.487,.080,0.9,8.4,4.5,9.9,1.3,0.1,10.4,15.7,,0.6,0.8,1.3,.094,,-0.9,-1.1,-1.9,0.0
11,Marreese Speights,25,40,579,16.1,.474,.020,.271,15.2,23.5,19.3,5.5,0.9,3.8,11.2,24.8,,0.3,1.1,1.4,.116,,-3.1,-0.1,-3.2,-0.2
12,Ed Davis,23,36,544,17.2,.539,.000,.455,12.1,22.8,17.4,2.4,1.3,7.1,9.5,16.1,,0.8,1.2,2.1,.183,,-2.5,2.9,0.4,0.3
13,Austin Daye,24,31,328,13.3,.529,.523,.144,2.1,19.8,10.8,10.6,1.5,3.5,11.9,18.8,,0.2,0.6,0.9,.127,,-1.1,1.4,0.3,0.2
14,Tony Wroten,19,35,272,9.3,.461,.186,.337,5.5,6.6,6.1,25.2,1.6,1.2,22.7,21.7,,-0.2,0.3,0.1,.017,,-3.4,-0.8,-4.2,-0.2
15,Chris Johnson,22,8,102,10.7,.560,.720,.080,5.7,7.1,6.4,3.1,2.1,0.0,10.4,13.1,,0.1,0.1,0.2,.112,,0.4,-0.7,-0.3,0.0
16,Jon Leuer,23,19,96,17.2,.628,.000,.292,9.7,20.1,14.8,5.3,2.3,0.0,10.0,14.4,,0.2,0.2,0.4,.198,,-0.2,0.3,0.1,0.1
17,Hamed Haddadi,27,13,87,7.4,.343,.000,.095,13.3,19.4,16.3,6.9,0.6,5.7,15.5,13.7,,-0.1,0.2,0.1,.039,,-5.9,3.1,-2.7,0.0
18,Keyon Dooling,32,7,82,11.2,.644,.571,.333,0.0,1.5,0.7,15.6,0.7,0.0,17.2,16.4,,0.2,0.1,0.2,.128,,-0.1,-4.5,-4.7,-0.1
19,Josh Selby,21,10,59,0.1,.373,.273,.500,0.0,10.2,5.0,10.5,1.8,0.0,20.7,26.4,,-0.3,0.1,-0.2,-0.143,,-9.4,-2.2,-11.6,-0.1
20,Dexter Pittman,24,7,20,-7.7,.137,.000,.500,17.4,12.0,14.8,0.0,0.0,0.0,12.0,19.2,,-0.1,0.0,-0.1,-0.239,,-13.4,-6.0,-19.4,-0.1
