
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Glen Rice,23,77,77,2646,550,1193,.461,71,184,.386,479,1009,.475,.491,171,209,.818,85,296,381,189,101,26,166,216,1342
2,Sherman Douglas,24,73,73,2562,532,1055,.504,4,31,.129,528,1024,.516,.506,284,414,.686,78,131,209,624,121,5,270,178,1352
3,Grant Long,24,80,66,2514,276,561,.492,1,6,.167,275,555,.495,.493,181,230,.787,225,343,568,176,119,43,156,295,734
4,Rony Seikaly,25,64,59,2171,395,822,.481,2,6,.333,393,816,.482,.482,258,417,.619,207,502,709,95,51,86,205,213,1050
5,Kevin Edwards,25,79,16,2000,380,927,.410,24,84,.286,356,843,.422,.423,171,213,.803,80,125,205,240,129,46,163,151,955
6,Willie Burton,22,76,26,1928,341,773,.441,4,30,.133,337,743,.454,.444,229,293,.782,111,151,262,107,72,24,144,275,915
7,Billy Thompson,27,73,46,1481,205,411,.499,0,4,.000,205,407,.504,.499,89,124,.718,120,192,312,111,32,48,117,161,499
8,Bimbo Coles,22,82,9,1355,162,393,.412,6,34,.176,156,359,.435,.420,71,95,.747,56,97,153,232,65,12,98,149,401
9,Alec Kessler,24,78,18,1259,199,468,.425,0,4,.000,199,464,.429,.425,88,131,.672,115,221,336,31,17,26,108,189,486
10,Terry Davis,23,55,17,996,115,236,.487,1,2,.500,114,234,.487,.489,69,124,.556,107,159,266,39,18,28,36,129,300
11,Keith Askins,23,39,1,266,34,81,.420,6,25,.240,28,56,.500,.457,12,25,.480,30,38,68,19,16,13,11,46,86
12,Alan Ogg,23,31,1,261,24,55,.436,0,2,.000,24,53,.453,.436,6,10,.600,15,34,49,2,6,27,8,53,54
13,Jon Sundvold,29,24,0,225,43,107,.402,15,35,.429,28,72,.389,.472,11,11,1.000,3,6,9,24,7,0,16,11,112
14,Milt Wagner,27,13,1,116,24,57,.421,6,17,.353,18,40,.450,.474,9,11,.818,0,7,7,15,2,3,12,14,63
,Team Totals,,82,,19780,3280,7139,.459,140,464,.302,3140,6675,.470,.469,1649,2307,.715,1232,2302,3534,1904,756,387,1551,2080,8349
