
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
2,Keith Askins,SF,6-7,197,December 15 1967,5,University of Alabama
7,Rex Chapman,SG,6-4,185,October 5 1967,7,University of Kentucky
12,Bimbo Coles,PG,6-1,180,April 22 1968,5,Virginia Polytechnic Institute and State University
23,Tyrone Corbin,SF,6-6,210,December 31 1962,10,DePaul University
5,Sasha Danilovic,SG,6-5,200,February 26 1970,R,
28,LeRon Ellis,C,6-9,225,April 28 1969,2,Syracuse University
35,Kevin Gamble,SF,6-5,210,November 13 1965,8,University of Iowa
15,Chris Gatling,PF,6-10,220,September 3 1967,4,Old Dominion University
54,Ron Grandison,PF,6-6,215,July 9 1964,3,University of New Orleans
10,Tim Hardaway,PG,6-0,175,September 1 1966,5,University of Texas at El Paso
21,Stacey King,PF,6-11,230,January 29 1967,6,University of Oklahoma
22,Voshon Lenard,SG,6-4,205,May 14 1973,R,University of Minnesota
25,Jeff Malone,SG,6-4,205,June 28 1961,12,Mississippi State University
33,Alonzo Mourning,C,6-10,240,February 8 1970,3,Georgetown University
20,Pete Myers,SG,6-6,180,September 15 1963,7,University of Arkansas at Little Rock
30,Billy Owens,SF,6-8,220,May 1 1969,4,Syracuse University
15,Terrence Rencher,PG,6-3,185,February 19 1973,R,University of Texas at Austin
24,Danny Schayes,C,6-11,235,May 10 1959,14,Syracuse University
14,Tony Smith,SG,6-3,185,June 14 1968,5,Marquette University
40,Kurt Thomas,PF,6-9,230,October 4 1972,R,Texas Christian University
42,Walt Williams,SF,6-8,219,April 16 1970,3,University of Maryland
42,Kevin Willis,PF,7-0,220,September 6 1962,10,Michigan State University
