
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Eddie Jones,30,81,81,3156,5.9,13.7,.432,1.7,4.4,.390,4.2,9.3,.451,3.4,4.0,.837,0.7,3.6,4.3,3.0,1.3,0.9,1.7,2.9,16.9
2,Alonzo Mourning,31,75,74,2455,6.6,12.7,.516,0.0,0.0,.333,6.5,12.7,.517,4.1,6.3,.657,2.7,6.6,9.3,1.3,0.4,2.7,2.7,3.8,17.3
3,Rod Strickland,35,76,64,2294,5.0,11.2,.443,0.1,0.4,.308,4.8,10.8,.448,2.4,3.2,.766,0.8,2.9,3.6,7.3,1.3,0.2,2.5,1.8,12.5
4,Brian Grant,29,72,72,2256,4.6,9.7,.469,0.0,0.0,.000,4.6,9.7,.470,1.6,1.9,.849,2.7,6.5,9.2,2.2,0.8,0.5,1.9,3.8,10.7
5,Jim Jackson,31,55,19,1825,4.7,10.6,.442,0.7,1.6,.469,3.9,9.0,.438,1.5,1.7,.862,1.1,4.7,5.7,2.8,0.8,0.3,2.1,2.9,11.6
6,LaPhonso Ellis,31,66,14,1684,4.0,9.7,.418,0.8,2.7,.306,3.2,7.0,.460,1.1,1.8,.631,2.3,3.8,6.1,1.2,0.6,0.8,1.6,4.2,10.0
7,Kendall Gill,33,65,49,1410,4.1,10.8,.384,0.2,1.1,.136,4.0,9.7,.413,1.1,1.6,.677,0.7,4.0,4.7,2.6,1.1,0.2,1.4,3.6,9.5
8,Eddie House,23,64,3,1230,6.1,15.3,.399,1.6,4.6,.344,4.5,10.7,.422,1.2,1.4,.857,0.5,2.7,3.2,3.6,1.3,0.1,2.3,2.9,15.0
9,Anthony Carter,26,46,18,1050,3.1,8.9,.342,0.0,0.7,.053,3.0,8.3,.365,0.7,1.2,.528,0.7,3.4,4.0,7.3,1.7,0.1,2.5,2.9,6.8
10,Vladimir Stepania,25,67,4,884,4.8,10.1,.470,0.0,0.1,.500,4.7,10.1,.470,2.0,4.2,.481,4.1,6.9,11.0,0.7,1.0,1.8,2.1,4.2,11.6
11,Chris Gatling,34,54,1,809,5.8,13.0,.447,0.0,0.4,.125,5.8,12.7,.456,3.6,5.2,.701,3.2,6.0,9.2,1.1,0.8,0.5,2.6,4.9,15.4
12,Sean Marks,26,21,6,319,4.3,9.9,.432,0.0,0.0,,4.3,9.9,.432,2.3,3.8,.588,2.1,6.3,8.5,0.9,0.6,1.1,2.1,4.5,10.8
13,Malik Allen,23,12,2,161,4.9,11.4,.431,0.0,0.2,.000,4.9,11.2,.440,1.8,2.2,.800,3.4,5.1,8.5,1.1,0.7,1.8,0.4,3.6,11.6
14,Sam Mack,31,12,1,159,3.2,11.1,.286,1.6,6.3,.250,1.6,4.8,.333,1.1,1.6,.714,0.5,2.7,3.2,0.9,1.1,0.2,1.6,3.8,9.1
15,Mike James,26,15,0,119,4.5,13.0,.349,2.4,6.4,.381,2.1,6.7,.318,1.2,2.1,.571,0.6,3.6,4.2,5.7,1.8,0.3,3.9,5.1,12.7
16,Tang Hamilton,23,9,2,98,3.7,7.0,.526,0.0,0.4,.000,3.7,6.6,.556,0.0,0.4,.000,2.2,4.4,6.6,1.8,1.5,0.0,0.7,3.7,7.3
17,Ernest Brown,22,3,0,21,1.7,10.3,.167,0.0,0.0,,1.7,10.3,.167,1.7,6.9,.250,1.7,8.6,10.3,0.0,0.0,1.7,5.1,6.9,5.1
