
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Lamar Odom,24,80,80,3003,8.8,20.5,.430,1.1,3.7,.298,7.7,16.8,.460,6.2,8.3,.742,2.9,11.2,14.1,5.9,1.5,1.3,4.3,5.0,24.9,,102,98
2,Eddie Jones,32,81,81,2998,8.6,21.0,.409,3.2,8.7,.370,5.4,12.3,.437,5.1,6.1,.835,0.7,4.9,5.6,4.7,1.7,0.6,2.3,4.1,25.5,,110,103
3,Rafer Alston,27,82,28,2581,6.1,16.2,.376,3.4,9.2,.371,2.7,7.0,.382,2.2,2.8,.769,0.5,4.2,4.8,7.9,2.4,0.4,2.7,4.5,17.7,,105,102
4,Brian Grant,31,76,76,2303,6.8,14.5,.471,0.0,0.0,.000,6.8,14.5,.472,2.0,2.6,.782,4.1,8.3,12.4,1.6,1.2,0.8,1.9,6.0,15.7,,104,102
5,Dwyane Wade,22,61,56,2126,9.5,20.5,.465,0.4,1.4,.302,9.1,19.1,.477,6.0,8.0,.747,2.2,4.2,6.3,7.1,2.2,0.9,5.0,3.6,25.4,,101,102
6,Caron Butler,23,68,56,2030,6.5,17.0,.380,0.3,1.1,.238,6.2,15.8,.390,3.6,4.7,.756,2.5,6.3,8.8,3.4,2.0,0.3,2.4,4.4,16.7,,94,102
7,Udonis Haslem,23,75,24,1795,6.2,13.6,.459,0.0,0.1,.000,6.2,13.5,.462,4.3,5.6,.765,5.7,8.6,14.4,1.6,1.0,0.7,2.2,6.0,16.7,,109,102
8,Rasual Butler,24,45,0,675,9.6,20.2,.476,4.0,8.7,.463,5.6,11.5,.486,1.3,1.7,.762,0.3,4.6,4.9,1.9,0.8,1.1,2.3,5.8,24.6,,108,105
9,Malik Allen,25,45,6,616,7.4,17.5,.419,0.0,0.0,,7.4,17.5,.419,2.2,2.9,.758,3.7,6.8,10.5,1.4,1.1,2.5,2.4,7.2,16.9,,93,101
10,Loren Woods,25,38,2,506,4.7,10.4,.458,0.0,0.0,,4.7,10.4,.458,3.6,5.9,.600,7.0,7.4,14.5,1.1,1.2,2.0,2.8,5.6,13.1,,103,101
11,Samaki Walker,27,33,0,418,5.0,12.9,.384,0.0,0.3,.000,5.0,12.7,.392,3.8,5.7,.659,5.5,9.1,14.6,0.8,1.2,1.4,2.0,7.1,13.7,,98,100
12,John Wallace,29,37,0,368,9.0,21.5,.421,0.7,1.9,.385,8.3,19.6,.424,4.6,5.9,.775,1.8,7.0,8.7,2.1,0.7,1.2,3.6,5.6,23.4,,93,103
13,Bimbo Coles,35,22,1,170,3.9,10.9,.353,0.0,0.0,,3.9,10.9,.353,1.3,1.9,.667,0.6,2.6,3.2,4.8,1.0,0.0,2.9,8.7,9.0,,79,107
14,Wang Zhizhi,26,14,0,105,8.8,23.4,.378,2.1,7.3,.286,6.8,16.1,.419,2.6,3.1,.833,2.1,5.2,7.3,1.0,1.6,2.1,3.1,6.8,22.3,,88,102
15,Tyrone Hill,35,5,0,38,4.3,7.2,.600,0.0,0.0,,4.3,7.2,.600,4.3,5.7,.750,7.2,4.3,11.5,0.0,0.0,1.4,2.9,14.4,12.9,,120,106
16,Kirk Penney,23,2,0,18,3.0,18.2,.167,3.0,9.1,.333,0.0,9.1,.000,0.0,0.0,,0.0,3.0,3.0,3.0,3.0,0.0,9.1,3.0,9.1,,40,102
17,Jerome Beasley,23,2,0,5,10.9,32.7,.333,0.0,0.0,,10.9,32.7,.333,0.0,0.0,,0.0,10.9,10.9,0.0,0.0,0.0,0.0,0.0,21.8,,72,104
