
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James,26,79,79,38.8,9.6,18.8,.510,1.2,3.5,.330,8.4,15.3,.552,.541,6.4,8.4,.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7
2,Dwyane Wade,29,76,76,37.1,9.1,18.2,.500,0.8,2.7,.306,8.3,15.5,.534,.523,6.5,8.6,.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5
3,Chris Bosh,26,77,77,36.3,6.8,13.7,.496,0.1,0.3,.240,6.7,13.4,.502,.499,5.0,6.1,.815,1.8,6.5,8.3,1.9,0.8,0.6,1.8,2.2,18.7
4,Mike Bibby,32,22,12,26.5,2.5,5.7,.437,1.8,4.0,.455,0.7,1.7,.395,.595,0.5,0.7,.625,0.1,2.1,2.2,2.5,0.5,0.1,1.5,2.1,7.3
5,Udonis Haslem,30,13,0,26.5,3.4,6.6,.512,0.0,0.0,,3.4,6.6,.512,.512,1.2,1.5,.800,2.2,5.9,8.2,0.5,0.5,0.2,1.1,3.0,8.0
6,Mario Chalmers,24,70,28,22.6,2.2,5.5,.399,1.2,3.3,.359,1.0,2.2,.459,.506,0.8,0.9,.871,0.2,1.9,2.1,2.5,1.1,0.1,1.3,2.3,6.4
7,Mike Miller,30,41,2,20.4,2.0,4.9,.401,1.0,2.9,.364,0.9,2.0,.452,.507,0.6,0.8,.676,0.9,3.6,4.5,1.2,0.5,0.0,1.0,2.1,5.6
8,Carlos Arroyo,31,49,42,20.3,2.2,4.9,.458,0.6,1.3,.438,1.7,3.6,.466,.517,0.6,0.7,.800,0.3,1.4,1.6,2.0,0.3,0.0,0.9,1.2,5.6
9,Joel Anthony,28,75,11,19.5,0.7,1.3,.535,0.0,0.0,,0.7,1.3,.535,.535,0.6,1.0,.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2.0
10,James Jones,30,81,8,19.1,1.8,4.3,.422,1.5,3.5,.429,0.3,0.7,.390,.600,0.7,0.9,.833,0.3,1.7,2.0,0.5,0.4,0.2,0.3,1.6,5.9
11,Eddie House,32,56,1,17.5,2.3,5.7,.399,1.2,3.1,.389,1.1,2.6,.411,.505,0.7,0.7,.950,0.2,1.5,1.6,1.1,0.6,0.1,0.5,1.2,6.5
12,Erick Dampier,35,51,22,16.0,1.0,1.7,.584,0.0,0.0,.000,1.0,1.7,.591,.584,0.5,0.9,.545,1.0,2.4,3.5,0.4,0.3,0.9,0.6,1.6,2.5
13,Zydrunas Ilgauskas,35,72,51,15.9,2.3,4.4,.508,0.0,0.0,.000,2.3,4.4,.509,.508,0.5,0.6,.783,1.5,2.5,4.0,0.4,0.3,0.8,0.7,2.6,5.0
14,Juwan Howard,37,57,0,10.4,1.0,2.2,.440,0.0,0.0,,1.0,2.2,.440,.440,0.5,0.6,.829,0.6,1.5,2.1,0.4,0.2,0.1,0.4,1.1,2.4
15,Jamaal Magloire,32,18,0,8.8,0.7,1.2,.591,0.0,0.0,,0.7,1.2,.591,.591,0.5,1.0,.500,0.9,2.4,3.4,0.2,0.2,0.1,0.3,1.4,1.9
16,Jerry Stackhouse,36,7,1,7.1,0.4,1.7,.250,0.1,0.6,.250,0.3,1.1,.250,.292,0.7,1.0,.714,0.1,0.9,1.0,0.4,0.0,0.3,0.3,0.4,1.7
17,Dexter Pittman,22,2,0,5.5,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,1.0,1.0,1.0
