
Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kareem Abdul-Jabbar,23,82,3288,29.0,.606,,.370,,,18.9,12.2,,,,,,17.0,5.3,22.3,.326,,,,,
2,Oscar Robertson,32,81,3194,19.6,.563,,.380,,,6.9,25.5,,,,,,8.4,4.0,12.4,.186,,,,,
3,Jon McGlocklin,27,82,2891,14.2,.563,,.156,,,3.7,13.1,,,,,,6.6,2.3,8.9,.147,,,,,
4,Bob Dandridge,23,79,2862,16.9,.545,,.322,,,10.5,12.2,,,,,,6.2,3.3,9.5,.160,,,,,
5,Greg Smith,24,82,2428,14.1,.537,,.267,,,11.5,11.2,,,,,,3.8,2.9,6.8,.134,,,,,
6,Bob Boozer,33,80,1775,13.1,.502,,.281,,,11.6,8.6,,,,,,1.7,2.1,3.7,.101,,,,,
7,Lucius Allen,23,61,1162,12.2,.485,,.276,,,6.2,16.3,,,,,,0.7,1.2,1.9,.078,,,,,
8,Dick Cunningham,24,76,675,11.7,.455,,.303,,,18.0,7.2,,,,,,-0.1,1.0,1.0,.068,,,,,
9,McCoy McLemore,28,28,415,9.2,.437,,.308,,,12.0,8.2,,,,,,-0.2,0.5,0.3,.035,,,,,
10,Bill Zopf,22,53,398,9.6,.391,,.267,,,5.5,20.8,,,,,,-0.5,0.4,-0.1,-0.011,,,,,
11,Gary Freeman,22,41,335,15.4,.548,,.311,,,13.9,11.3,,,,,,0.7,0.5,1.1,.161,,,,,
12,Jeff Webb,22,29,300,3.9,.384,,.192,,,3.8,6.9,,,,,,-0.4,0.2,-0.1,-0.024,,,,,
13,Bob Greacen,23,2,43,3.6,.166,,.583,,,6.6,30.8,,,,,,-0.2,0.1,-0.2,-0.189,,,,,
14,Marv Winkler,22,3,14,11.4,.368,,.200,,,13.5,18.1,,,,,,-0.1,0.0,0.0,-0.121,,,,,
