
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
2,Junior Bridgeman,SF,6-5,210,September 17 1953,1,University of Louisville
25,Gary Brokaw,SG,6-4,178,January 11 1954,2,University of Notre Dame
21,Quinn Buckner,PG,6-3,190,August 20 1954,R,Indiana University
3-5,Fred Carter,SG,6-3,185,February 14 1945,7,Mount St. Mary's University
10,Bob Dandridge,SF,6-6,195,November 15 1947,7,Norfolk State University
20,Mickey Davis,SF,6-7,195,June 16 1950,5,Duquesne University
23,Alex English,SF,6-7,190,January 5 1954,R,University of South Carolina
24,Rowland Garrett,SF,6-6,210,July 16 1950,4,Florida State University
45,Scott Lloyd,C,6-10,230,December 19 1952,R,Arizona State University
13,Glenn McDonald,SF,6-6,190,March 18 1952,2,California State University Long Beach
22,Dave Meyers,PF,6-8,215,April 21 1953,1,University of California Los Angeles
31-35,Swen Nater,C,6-11,240,January 14 1950,3,University of California Los Angeles
15,Jim Price,PG,6-3,195,November 27 1949,4,University of Louisville
18,Kevin Restani,PF,6-9,225,December 23 1951,2,University of San Francisco
3,Elmore Smith,C,7-0,250,May 9 1949,5,Kentucky State University
11,Lloyd Walton,PG,6-0,160,November 23 1953,R,Marquette University
32,Brian Winters,SG,6-4,185,March 1 1952,2,University of South Carolina
